Fe II 4233,C,,,Fe II ,4233,,,Fe II,4233.17,Fe II,4233.17,Fe II,4233.2,Fe II,4233.17,,4232.016,,,,,,,,,
Fe II 4258,B,,,,,,,Fe II/Fe I,4258-60,Fe II,4258.15,Fe II,4258.2,Fe II/Cr II,4258-62,,4258.8086,,,,,,,,,
Fe I 4271,B,,,Fe I,4271,,,Fe I,4271.76,Fe II,4273.32,Fe I/Fe II,4272-73,Fe I,4271-72,,4272.4695,,,,,,,,,
,,,,,,,,Ti II,4288-90,,,Fe II,4286.3,Ti I,4288,M,4287.04,,,,,,,,,
,,,,,,,,,,Ti II/Fe II,4294-97,Fe I/Ti II,4294.1,,,M,4293.63,,,,,,,,,
Ti II 4300,A,,,,,,,Ti II,4300.05,Ti II,4300.05,Ti II,4300,,,,4300.3539,,,,,,,,,
Ti II/Sc II 4314,C,,,,,,,,,Ti II/Fe II/Fe I/Sc II,4313-15,Ti II,4312.9,Ti II/Sc II,4314,,4312.9836,,,,,,,,,
,,,,,,,,,,,,,,,,M,4324.24,,,,,,,,,
H$\gamma$,A,Hgamma,4340.47,Hgamma,,,,,,Hgamma,4340.46,Hdelta,4340.5,Hgamma,4340.47,,4339.2464,,,,,,,,,
Fe II 4352,C,,,,,,,,,Fe II,4351.8,,,,,,4350.4597,,,,,,,,,
Ti II/Fe II 4368-69,B,,,,,,,,,Ti II/Fe II,4368-69,Ti II/Fe II,4368-69,Ti II,4367.55,PK,4368.002,,,,,,,,,
Ti II 4375,C,,,,,,,,,,,Ti II,4374.8,Sc II/Ti II,4375,PK,4372.9028,,,,,,,,,
Fe I/Fe II 4383-85,B,,,Fe I,4383,,,Fe I/Fe II,4383-85,Fe I/Fe II/Mg II,4384-85,Fe I/Fe II,4384-85,Fe I/Fe II,4383-85,TP,4384.0557,,,,,,,,,
Ti II 4395,B,,,,,,,Mg II/Ti II,4390-95,Ti II,4395.02,Ti II,4395-96,Ti II,4395,TP,4393.7749,,,,,,,,,
Fe II 4417,B,,,,,,,Fe I/Fe II,4415-17,Fe II,4416.82,,,Fe II,4416.8,,4415.9079,,,,,,,,,
Mg II 4428,B,,,,,,,Mg II,4428,,,Mg II,4428,,,M,4428.32,,,,,,,,,
Ti II 4444,B,,,,,,,Ti II/Fe I,4442-43,Ti II,4443.8,Ti II,4443.8,Ti II,4444,,4442.6727,,,,,,,,,
Ti II 4450,B,,,,,,,Ti II,4450.49,Ti II,4450.49,,,Ti II/Fe II,4451,,4450.0034,,,,,,,,,
Ti II 4468,A,,,,,,,Ti II,4468.49,Ti II,4468.5,Ti II,4468.5,Ti II,4468.6,,4468.33,,,,,,,,,
Mg II 4481,A,,,Mg II ,4481,,,Mg II,4481.33,Mg II,4481.33,Mg II,4481.3,Mg II,4481,TP,4480.1133,,,,,,,,,
Ti II/Fe II 4489-91,B,,,,,,,Ti II/Fe II,4489-91,Ti II/Fe II,4488-89,Fe II,4489-91,Fe II,4489-91,TP,4489.1094,,,,,,,,,
Ti II 4501,B,,,,,,,Ti II,4501.27,Ti II,4501.27,Fe II/Ti II,4500-01,Ti II,4501.27,,4500.2906,,,,,,,,,
Fe II 4508,A,,,,,,,Fe II,4508.28,Fe II,4508.28,,,Fe II,4508,,4506.9281,,,,,,,,,
Fe II 4515,A,,,,,,,Fe II,4515.34,Fe II,4515.34,,,Fe II,4515.51,M,4514.98,,,,,,,,,
Fe II 4520,B,,,,,,,Fe II,4520-23,Fe II,4520-23,Fe II,4520.2,Fe II,4520.23,,4520.3931,,,,,,,,,
Fe II 4534,C,,,,,,,,,Ti II/Fe II/Mg II,4534,,,Fe II,4534,,4532.7199,,,,,,,,,
Fe II 4542,B,,,,,,,Fe II,4541.52,Fe II,4541.5,Cr II/Fe II,4540-42,Fe II,4542,,4540.0754,,,,,,,,,
Fe II/Ti II 4550,B,,,,,,,,,Fe II/Ti II,4549.5,Fe II,4549.5,Fe II/Ti II,4550,TP,4548.4839,,,,,,,,,
Cr II/Fe II 4555-56,B,,,,,,,Fe II,4555.89,Cr II/Fe II,4555-56,Cr II/Fe II,4555-56,Fe II,4556,TP,4555.3267,,,,,,,,,
Ti II 4564,B,,,,,,,Ti II,4563.77,Ti II,4563.8,,,,,M,4563.01,,,,,,,,,
Ti II 4572,A,,,,,,,Ti II,4571.97,Ti II,4571.98,Ti II,4572,Ti II,4571.97,M,4571.49,,,,,,,,,
Fe II 4583-84,A,,,,,,,Fe II,4583-84,Fe II,583-84,Fe II,4583-84,Fe II,4583.8,PK,4582.001,,,,,,,,,
Cr II 4588,A,,,,,,,Cr II,4588.22,Cr II,4588.2,Cr II,4588,Cr II,4588,PK,4586.3462,,,,,,,,,
Cr II 4617-19,A,,,,,,,Cr II,4617-19,Cr II,4617-19,Cr II,4617-19,Cr II,4617-19,,4617.9147,,,,,,,,,
Fe II 4629,A,,,,,,,Fe II,4629-34,Fe II,4629.34,Fe II,4629.3,Fe II,4629.3,PK,4628.2676,,,,,,,,,
Cr II/Fe II 4634-35,B,,,,,,,,,Cr II/Fe II,4634-35,Cr II/Fe II,4634-35,,,PK,4632.9263,,,,,,,,,
Fe II 4657,C,,,,,,,,,Fe II/Ti II,4657.04,Fe II,4657,,,KP,4655.7847,,,,,,,,,
Fe II 4664-67,C,,,,,,,Fe II,4666.75,Fe II,4664-67,Fe II,4667-70,Fe II/Cr I,4667,KP,4665.2559,,,,,,,,,
Fe II 4731,C,,,,,,,,,Fe II,4731.44,,,,,,4729.3316,,,,,,,,,
,,,,,,,,,,,,,,,,,4761.7506,,,,,,,,,
,,,,,,,,,,,,,,,,,4778.4137,,,,,,,,,
Cr II 4824,A,,,,,Cr II,4824.14,,,Cr II,4824.13,,,Cr II,4824.13,,4823.0195,,,,,,,,,
,,,,,,,,,,,,,,,,,4834.8654,,,,,,,,,
Cr II 4848,B,,,,,Cr II,4848.25,,,Cr II,4848.24,,,,,,4847.5157,,,,,,,,,
H$\beta$,A,Hbeta,4861.33,,,Hbeta,4861.33,,,Hbeta,4861.33,,,Hbeta,4861.33,,4860.0351,,,,,,,,,
Cr II 4876,C,,,,,,,,,Cr II,4876.4,,,,,,4874.3995,,,,,,,,,
,,,,,,,,,,,,,,,,,4882.8261,,,,,,,,,
Ti II 4911,C,,,,,Ti II,4911.19,,,,,,,,,,4910.4234,,,,,,,,,
Fe II 4924,B,,,,,,,,,Fe II,4923.92,,,Fe II,4923.92,,4922.3054,,,,,,,,,
,,,,,,,,,,,,,,,,,4990.5193,,,,,,,,,
Fe I/Fe II 5002,B,,,,,Fe I,5001.86,,,Fe II,5001.89,,,Fe I/Fe II,5002,,5001.8696,,,,,,,,,
Fe II 5018,B,,,,,,,,,Fe II,5018.43,,,Fe II,5018.44,,5017.0104,,,,,,,,,
