Ti II 4395,B,,,Fe II/Ti II,4395-4400,,,Ti II,4395.04,Ti II,4395.04,Ti II,4395-96,,,TP,4395.9775,,,,,,,,,
Ti II 4400,B,,,Fe II/Ti II,4395-4400,,,Ti II/Fe I,4400-05,Ti II,4399.77,,,,,TP,4401.043,,,,,,,,,
Fe II/Ti II 4417-18,B,,,Ti II,4417,,,Fe II/Ti II,4417-18,Fe II,4416.82,Fe II,4416.8,,,,4417.1246,,,,,,,,,
Ca I 4435-36,C,,,,,,,Ca I,4435-36,,,,,,,,4434.8458,,,,,,,,,
Ti II 4444,A,,,,,,,Ti II,4443.8,Ti II,4443.8,Ti II,4443.8,,,,4444.2303,,,,,,,,,
Fe II 4455,C,,,,,,,,,,,Fe II,4455.2,,,,4456.25,,,,,,,,,
Ti II 4469,A,,,,,,,Ti II,4468.5,Ti II,4468.5,Ti II,4468.5,Ti II,4468,,4468.8607,,,,,,,,,
Mg II 4481,A,,,Mg II,4481,,,Mg II,4481,Mg II,4481.33,Mg II,4481.3,Mg II,4481,,4482.19,,,,,,,,,
Fe II 4491,B,,,,,,,Fe II,4491.42,Fe II,4491.4,Fe II,4489-94,,,,4491.3572,,,,,,,,,
Ti II 4501,A,,,,,,,Ti II,4501.3,Ti II,4501.27,Ti II,4501.2,,,M,4501.99,,,,,,,,,
Fe II 4508,A,,,,,,,Fe II,4508.3,Fe II,4508.28,Fe II,4508.3,,,M,4509.12,,,,,,,,,
Fe II 4513,A,,,,,,,Fe II,4515.3,Fe II,4515.34,Fe II,4515.3,,,MK,4516.73,,,,,,,,,
Fe II 4523,B,,,,,,,Fe II,4522.6,Fe II,4522.63,,,,,M,4522.91,,,,,,,,,
Ti II/Fe II 4530-34,C,,,,,,,,,,,Ti II/Fe II,4530-34,,,wide,4531.6583,,,,,,,,,
Fe II/Ti II 4550,B,,,,,,,Fe II/Ti II,4549.6,Fe II/Ti II,4549.5,Fe II,4549.5,Fe II/Ti II,4550,TSP,4551.0161,,,,,,,,,
Cr II/Fe II 4555-59,B,,,,,,,Ba II/Cr II/Fe II/Fe I,4554-58,Cr II/Fe II,4555-59,Cr II/Fe II,4555-59,,,TSP,4555.8022,,,,,,,,,
,,,,,,,,,,Ti II,4563.79,Cr II,4565.8,,,,4564.6054,,,,,,,,,
Ti II 4572,B,,,,,,,Ti II,4571.98,Ti II,4571.98,Ti II,4572,,,,4573.485,,,,,,,,,
Fe II 4584,A,,,,,,,Fe II,4583.8,Fe II,4583.83,Fe II,4583-84,Fe II/Cr II,4584-88,PK,4583.8447,,,,,,,,,
Cr II 4588-92,B,,,,,,,Cr II/Ti II,4588-90,Cr II,4588-92,Cr II,4588-92,Fe II/Cr II,4584-88,PK,4589.7651,,,,,,,,,
,,,,,,,,,,,,,,,,M,4603.27,,,,,,,,,
