Fe II 5169,C,,,,,,,Fe II,5169.03,,,,,,,,,MS,5168.26,,,,,,,
,,,,,,,,,,,,,,,,,,,5433.1167,,,,,,,
,,,,,,,,,,,,,,,,,,,5453.4063,,,,,,,
C II/S II/Si II 5640,C,,,,,,,,,,,,,C II/S II/Si II,5640,,,TP,5640.3027,,,,,,,
C II 648,C,,,,,,,,,,,,,C II,5648,,,TP,5647.5864,,,,,,,
,,,,,,,,,,,,,,,,,,TP,5691.02,,,,,,,
,,,,,,,,,,,,,,,,,,TP,5699.2427,,,,,,,
He I 5876,A,,,,,,,He I,5876,,,He I,5876,He I,5876,He I,5876,,5876.4334,,,,,,,
Na I 5890 (interstellar),A,Na I,5890,,,,,,,,,interstellar Na I,5890,Na I,5890,Na I,5890,PK,5890.8418,,,,,,,
Na I 5896 (interstellar),A,Na I,5896,,,,,,,,,interstellar Na I,5896,Na I,5896,Na I,5896,PK,5898.2725,,,,,,,
Telluric $O_2$ 6277,A,,,,,,,,,,,Telluric O2,6277,,,,,,6280.7096,,,,,,,
Mg II/Si II 6347,C,,,,,,,,,,,Mg II/Si II,6347,,,,,,6347.5787,,,,,,,
Si II 6371,C,,,,,,,,,,,Si II,6371,,,,,,6371.4711,,,,,,,
,,,,,,,,,,,,,,,,,,M,6404.1,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6463.83,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6478.17,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6484.38,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6492.98,,,,,,,
Ne I 6507,C,,,,,,,,,,,,,Ne I,6506.53,,,M,6507.8,,,,,,,
,,,,,,,,,,,,,,,,,,telluric?,6517.6939,,,,,,,
,,,,,,,,,,,,,,,,,,,6535.2315,,,,,,,
H$\alpha$,A,H-alfa,6562.82,,,,,,,,,Halfa,6563,Halfa,6562.82,Halfa,6562.82,,6563.4162,,,,,,,
He I 6678,B,,,,,,,,,,,,,He I,6678.15,He I,6678.15,,6678.6768,,,,,,,
