Si II 5979,B,,,,,Si II,5978.97,Si II,5978.97,,,,,telluric?,5978.0524,,,,
Fe II 5991,C,,,,,Fe II,5991.38,,,,,,,telluric?,5991.3818,,,,
,,,,,,,,,,,,,,,6045.905,,,,
,,,,,,,,,,,,,,SW,6117.1309,,,,
,,,,,,,,,,,,,,SW,6123.5283,,,,
,,,,,,O I,6158.2,Fe I,6157.73,,,,,M,6157.5,,,,
,,,,,,,,,,,,,,M,6249.26,,,,
,,,,,,,,,,,,,,telluric?,6279.4636,,,,
,,,,,,,,,,,,,,telluric?,6294.6986,,,,
,,,,,,,,,,,,,,,6320.034,,,,
Si II 6347,B,,,,,Si II,6347.1,Si II,6347.09,,,,,,6346.0387,,,,
Si II 6371,B,,,,,SI II,6371.36,SI II,6371.36,,,,,,6372.2185,,,,
,,,,,,,,,,,,,,telluric?,6462.4,,,,
,,,,,,,,,,,,,,telluric?,6476.26,,,,
,,,,,,,,,,,,,,telluric?,6484.38,,,,
,,,,,,,,,,,,,,telluric?,6492.51,,,,
,,,,,,,,,,,,,,telluric?,6517.2331,,,,
,,,,,,,,,,,,,,MSK,6536.47,,,,
H$\alpha$,A,H-alfa,6562.82,,,Halfa,6562.82,Halfa,6562.82,,,Halfa,6562.82,,6562.8967,,,,
He I 6678,B,,,,,,,He I,6678.15,,,He I,6678.15,,6679.6415,,,,
