H-16/He I 3703-05,B,,,,,,,H-16/He I,3703-05,,,,,,,,,,3705.1893,,,,,,,Walborn - Atlas of yellow red OB spectra
,,,,,,,,Al II/N II,4448,,,,,,,N II,4447.03,,4449.3229,,,,,,,
He I 4471,A,,,He I,4471,He I,4471.51,He I,4471.5,He I,4471.6,,,,,He I,4471.48,,4471.3903,,,,,,,
Mg II 4481,A,,,Mg II,4481,Mg II,4481,Mg II,4481.3,,,,,,,Mg II,4481.13,M,4480.57,,,,,,,
,,,,,,Al III,4529-30,V II/Ti II,4529,,,,,,,,,,4529.9103,,,,,,,
Si III 4553,B,,,Si III,4552,Si III/Ne I,4553,,,,,,,,,Si III,4552.65,,4553.2818,,,,,,,
Si III 4568,B,,,,,Si III ,4567.87,,,,,,,,,Si III,4567.87,TP,4568.6772,,,,,,,
Si III 4575,B,,,,,Si III,4574.78,,,,,,,,,Si III,4574.78,TP,4575.3691,,,,,,,
,,,,,,O II,4596.17,,,,,,,,,Si III,4591-96,M,4596.7,,,,,,,
O II 4609,C,,,,,O II,4609.4,,,,,,,,,,,M,4609.6,,,,,,,
,,,,,,,,,,,,,,,,,,M,4620.11,,,,,,,
N II/C II 4631,C,,,,,N II/C II,4630.5,,,,,,,,,,,M,4632.06,,,,,,,
O II 4642,C,,,,,O II,4641.8,,,,,,,,,,,TP,4642.0918,,,,,,,
,,,,,,O II,4649.14,,,,,,,,,C III,4647-51,TP,4650.0596,,,,,,,
,,,,,,O II,4661.64,,,Ti II,4662.7,,,,,,,,4662.6377,,,,,,,
O II 4676,B,,,,,O II,4676.23,,,,,,,,,O II,4676.23,,4676.9756,,,,,,,
,,,,,,O II,4701.23,Fe II,4699.3,,,,,,,,,MWK,4700.88,,,,,,,
He I 4713,A,,,,,He I,4713.2,He I,4713,,,,,,,He I,4713.15,,4713.325,,,,,,,
H$\beta$,A,H-beta,4861.33,,,Hbeta,4861.33,Hbeta,4861.3,Hbeta,4861.3,,,Hbeta,4861.33,Hbeta,4861.33,,4861.526,,,,,,,
He I 4922,A,,,,,He I,4921.93,He I,4921.9,He I,4921.9,,,He I,4921.93,He I,4921.93,,4922.3509,,,,,,,
O II 4943,C,,,,,O II,4943.06,,,,,,,,,,,,4943.6571,,,,,,,
N II 5001-05,C,,,,,N II,5001-05,Fe II/N II,5004-05,,,,,,,,,,5003.4992,,,,,,,
He I 5016,A,,,,,He I,5015.68,He I,5015.68,,,,,He I,5015.68,He I,5015.68,,5015.8228,,,,,,,
,,,,,,,,,,,,,,,,,,KP,5038.3779,,,,,,,
He I 5048,A,,,,,He I,5047.7,He I,5047.73,,,,,He I,5047.74,He I,5047.74,KP,5046.9785,,,,,,,
Fe III/C II/Ne I 5145,C,,,,,Fe III/C II/Ne I,5145,,,,,,,,,,,,5145.7294,,,,,,,
,,,,,,,,,,,,,,,,,,,5158.6134,,,,,,,
,,,,,,,,,,,,,,,,,,M,5221.3,,,,,,,
C III/S II/Si II 5640,C,,,,,,,,,,,,,C II/S II/Si II,5640,,,SW,5641.2446,,,,,,,
S II/C II 5647-48,C,,,,,,,,,,,,,S II/C II,5647-48,,,SW,5647.5269,,,,,,,
,,,,,,,,,,,,,,,,,,SW,5683.7114,,,,,,,
Al III 5696,C,,,,,,,,,,,,,Al III,5696.47,,,SW,5698.1777,,,,,,,
Al III 5723,C,,,,,,,,,,,,,Al III,5722.65,,,,5722.6151,,,,,,,
Si III 5740,A,,,,,,,,,,,Si III,5740,Si III,5739.76,Si III,5739,,5740.8158,,,,,,,
