N II 4447,B,,,,,,,N II,4447.03,Al II/N II,4447-48,,,,,,,N II,4447.03,,4447.0309,,,,,,,
He I 4471,A,,,He I,4471,,,He I,4471.51,He I,4471.5,He I,4471.6,,,,,He I,4471.48,TP,4470.9585,,,,,,,
Mg II 4481,A,,,Mg II,4481,,,Mg II,4481.33,Mg II,4481,,,,,,,Mg II,4481.13,TP,4480.3208,,,,,,,
Al III 4529,C,,,,,,,Al III,4529.18,,,,,,,,,,,,4529.0928,,,,,,,
Si III 4553,A,,,Si III,4552,Si III,4552.63,Si III,4552.65,,,,,,,,,Si III,4552.65,,4552.5471,,,,,,,
Si III 4568,A,,,Si III,4568,Si III,4567.82,Si III,4567.87,,,,,,,,,Si III,4567.87,,4568.2524,,,,,,,
Si III 4575,A,,,Si III,4575,Si III,4574.76,Si III,4574.78,,,,,,,,,Si III,4574.78,,4575.2065,,,,,,,
N II 4621,C,,,,,N II/Si II,4621.4,N II,4621.39,,,,,,,,,,,,4620.1164,,,,,,,
N II 4631,B,,,N II,4631,N II,4630.54,N II/C II,4630.5,,,,,,,,,,,,4630.7082,,,,,,,
O II 4639-42,B,,,O II,4640,O II/N II,4639-43,O II,4639-42,,,,,,,,,O II,4639-52,TP,4641.3696,,,,,,,
O II 4649,C,,,O II,4650,O II/N II,4649,O II,4649.14,,,,,,,,,C III,4647-51,TP,4649.333,,,,,,,
O II 4662,C,,,,,,,O II,4661.64,,,,,,,,,,,M,4661.55,,,,,,,
O II 4676,B,,,,,,,O II,4676.25,,,,,,,,,O II,4676.23,,4675.1521,,,,,,,
He I 4713,A,,,He I,4713,,,He I,4713.2,He I,4713,,,,,,,He I,4713.15,,4713.2304,,,,,,,
N II 4803,C,,,,,,,N II,4803.27,,,,,,,,,,,,4803.9354,,,,,,,
S II 4816-20,C,,,,,S II,4816-20,,,,,,,,,,,,,wide,4815.9723,,,,,,,
Si III 4829,C,,,,,,,Si III,4828.92,,,,,,,,,,,,4828.9645,,,,,,,
H$\beta$,A,H-beta,4861.33,,,,,H-beta,4861.33,H-beta,4861.33,,,,,H-beta,4861.33,H-beta,4861.33,,4861.2265,,,,,,,
He I 4922,A,,,,,,,He I,4921.93,He I,4921.93,,,,,He I,4921.93,He I,4921.93,,4921.9954,,,,,,,
,,,,,,,,O II,4942.96,,,,,,,Ni I,4945-46,,,,4943.0867,,,,,,,
,,,,,,,,,,,,,,,,,,,,MS,4968.19,,,,,,,
N II 5001-05,C,,,,,,,N II,5001-05,Fe II/N II,5004-05,,,,,,,,,,5003.8796,,,,,,,
He I 5016,A,,,,,He I,5015.67,He I,5015.68,He I,5015.68,,,,,He I,5015.68,He I,5015.67,,5015.575,,,,,,,
,,,,,,,,,,,,,,,,,,,,TSP,5038.6821,,,,,,,
He I 5048,A,,,,,He I,5047.7,He I,5047.74,He I,5047.73,,,,,He I,5047.74,He I,5047.74,TSP,5047.0835,,,,,,,
Si II 5056,C,,,,,Si II,5056,,,,,,,,,,,,,,5057.5014,,,,,,,
C II 5133,C,,,,,C II,5133,,,,,,,,,,,,,MS,5133.16,,,,,,,
C II 5145,C,,,,,C II,5145.17,,,,,,,,,,,,,MS,5144.57,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5435.415,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5455.1266,,,,,,,
S II 5640,C,,,,,S II,5640,,,,,,,,,C II/S II/Si II,5640,,,PK,5641.8677,,,,,,,
S II 5647,B,,,,,S II,5647,,,,,,,,,C II,5648,,,PK,5647.9629,,,,,,,
,,,,,,,,,,,,,,,,,,,,M,5681.79,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5689.4241,,,,,,,
Al III 5696,C,,,,,,,,,,,,,,,Al III,5696.47,,,,5697.9589,,,,,,,
Al III 5723,C,,,,,,,,,,,,,,,Al III,5722.65,,,,5722.4227,,,,,,,
Si III 5740,A,,,,,,,,,,,,,Si III,5740,Si III,5739.76,Si III,5739,,5740.7585,,,,,,,
