Fe II 5101,C,,,,,Fe II,5101,,,,,,,MW,5100.11,s,,,
,,,,,,,,,,,,,,MW,5127.32,s,,,
Fe II 5169,C,,,,,Fe II,5169.03,Fe II/Fe I/Mg I,5167-72,,,,,,5169.0754,s,,,
,,,,,,,,Mg I,5183.67,,,,,,5184.1773,s,,,
Fe II 5198,B,,,,,Fe II,5197.57,Fe II,5197.56,,,,,,5198.0652,s,,,
,,,,,,,,,,,,,,MW,5217.07,s,,,
Fe I/Ti II 5227,C,,,,,,,Fe I/Ti II,5227,,,,,MW,5226.62,,,,
Fe II 5235,B,,,,,Fe II,5234.66,Fe II,5234.62,,,,,,5234.8103,s,,,
,,,,,,,,Fe II/Fe I,5264-67,,,,,,5263.7939,s,,,
Fe II 5276,B,,,,,Fe II,5276.05,Fe II,5276.01,,,,,,5275.9526,s,,,
Fe II 5317,B,,,,,Fe II,5317,Fe II,5316.62,,,,,,5316.3435,s,,,
O I 5330,C,,,,,,,O I,5330,,,,,,5329.415,s,,,
Fe II 5363,B,,,,,Fe II,5362.86,Fe II,5362.87,,,,,,5363.9854,s,,,
,,,,,,,,,,,,,,MS,5721.21,s,,,
He I 5876,B,,,,,He I,5875.62,He I,5875.62,,,,,MK,5875.89,,,,
Na I 5890 (is),A,Na I,5890,,,,,Na I,5890,,,Na I,5889,PK,5890.5435,s,,,
Na I 5896 (is),A,Na I,5896,,,,,Na I,5896,,,Na I,5896,PK,5899.2046,,,,
,,,,,,,,,,,,,,telluric?,5920.1576,s,,,
,,,,,,,,,,,,,,telluric?,5945.3032,s,,,
Telluric $H_2O$/Si II 5958,C,,,,,telluric/Si II,5957.61,Si II,5957.61,,,,,telluric?,5958.063,s,,,
,,,,,,,,,,,,,,telluric?,5969.1086,s,,,
Telluric $H_2O$/Si II 5979,C,,,,,telluric/Si II,5978.97,Si II,5978.97,,,,,telluric?,5977.7832,s,,,
O I 6157-58,C,,,,,O I,6157-58,Fe I,6157.73,,,,,,6157.4425,s,,,
Telluric $O_2$,A,,,,,,,,,,,,,telluric?,6279.3357,s,,,
Si II 6347,B,,,,,Si II,6347.1,Si II,6347.09,,,,,,6347.2216,s,,,
Si II 6371,B,,,,,SI II,6371.36,Si II,6371.36,,,,,,6371.9197,s,,,
Fe II 6456,C,,,,,Fe II,6456.38,Fe II/O I,6456,,,,,,6456.4067,s,,,
,,,,,,,,,,,,,,telluric?,6475.99,s,,,
,,,,,,,,,,,,,,telluric?,6484.59,s,,,
,,,,,,,,,,,,,,telluric?,6492.7,,,,
,,,,,,,,,,,,,,telluric?,6516.9331,s,,,
,,,,,,,,,,,,,,telluric?,6535.19,,,,
H$\alpha$,A,H-alfa,6562.82,,,H-alfa,6562.82,H-alfa,6562.82,,,H-alfa,6562.82,,6562.7743,s,,,
