Fe I/Ni I 4459,A,4457.27,0.0319,15.84,Gaussian,deblended,,other,confirmed,36,"Fe I 4459.1, Ni I 4459.0"
,A,4468.41,0.0206,4.75,Gaussian,deblended,,other,uncertain_discarded,28,
Ti II/Fe I/Ni I 4469-71,A,4469.87,0.018,11.46,Gaussian,deblended,,other,confirmed,18,"Fe I 4469.4, Ti II 4470.9, Ni I 4470.5, Ti II 4469.1"
Mg II/Fe I 4481-82,A,4481.81,0.0701,7.99,Gaussian,deblended,,other,confirmed,24,"Mg II 4481.1, Mg II 4481.3, Fe I 4482.2"
Fe II/Ti II 4488-91,A,4490.93,0.03,4.79,Gaussian,deblended,,other,confirmed,33,"Fe II 4491.4, Fe II 4489.2, Ti II 4488.3"
,A,4496.82,0.0082,11.32,Gaussian,deblended,,other,uncertain_discarded,44,
,A,4549.25,0.0073,3.36,Gaussian,deblended,,other,uncertain_discarded,24,
Ba II 4554,A,4552.01,0.0684,10.51,Gaussian,deblended,,other,confirmed,29,Ba II 4554.0
,A,4557.06,0.0113,3.71,Gaussian,deblended,,other,uncertain_discarded,15,
,A,4564.52,0.0163,4.26,Gaussian,deblended,,other,uncertain_discarded,30,
,A,4573.04,0.0143,3.99,Gaussian,deblended,,other,uncertain_discarded,26,
Fe II 4583-84,A,4584.19,0.0563,10.6,Gaussian,deblended,,other,confirmed,38,"Fe II 4583.8, Fe II 4582.8"
,A,4592.43,0.0121,5.19,Gaussian,deblended,,other,uncertain_discarded,41,
Cr II/Fe II 4617-21,A,4618.3,0.0232,4.98,Gaussian,single,,other,confirmed,29,"Cr II 4618.8, Fe II 4620.5, Cr II 4616.6"
Cr II/Fe II 4629-34,A,4633.06,0.0235,8.08,Gaussian,single,,other,confirmed,37,"Cr II 4634.1, Fe II 4629.3"
Fe I/Fe II 4667-68,A,4668.51,0.043,6.8,Gaussian,single,,other,confirmed,53,"Fe I 4668.1, Fe II 4666.8, Fe I 4667.4"
Mg I/Fe I 4703-07,A,4704.74,0.0309,13.02,Gaussian,single,,other,confirmed,66,"Mg I 4703.0, Fe I 4707.3"
Fe II 4731,A,4732.36,0.0144,8.61,Gaussian,single,,other,confirmed,61,Fe II 4731.4
