H9,C,H9,3835,,,,,,,,,,3834.0155,,,,,,,,,
Fe I 4490,C,,,,,,,,,Fe I,4490,MK,4490,,,,,,,,,
Fe I 4495,C,,,,,,,Fe I,4494.57,Fe I/Cr I/Ti I,4494-97,,4494.874,,,,,,,,,
Ti I/Fe I 4512-18,C,,,,,,,,,Ti I/Fe I,4512-18,,4515.7471,,,,,,,,,
Fe I 4529,C,,,,,,,Fe I,4528.62,Ti I/Fe I,4526-29,AW,4527.7788,,,,,,,,,
Ti I 4536,C,,,,,,,Ti I,4536,Ti I/Fe I,4531-36,AW,4532.0962,,,,,,,,,
,,,,,,,,,,,,M,4542.5,,,,,,,,,
,,,,,,,,,,,,,4553.1733,,,,,,,,,
Cr I 4566,B,,,,,,,Cr I,4565.5,Cr I,4566,,4564.4922,,,,,,,,,
Ti II/Mg I 4572,C,,,,,,,,,Ti II/Mg I,4572,,4572.0579,,,,,,,,,
Ca I 4581,C,,,,,,,Ca I/Fe I,4581,V I/Ca I,4580,,4581.4541,,,,,,,,,
,,,,,,,,,,,,,4595.893,,,,,,,,,
Fe I/Cr I 4600-02,C,,,,,,,,,Fe I/Cr I,4600-02,MK,4603.5,,,,,,,,,
,,,,,,,,,,,,,4613.6859,,,,,,,,,
,,,,,,,,,,,,M,4620.5,,,,,,,,,
,,,,,,,,,,,,M,4627,,,,,,,,,
Cr I 4638,C,,,,,,,,,Cr I,4638,M,4639.5,,,,,,,,,
Cr I 4646,C,,,,,,,,,Cr I,4646,,4646.8991,,,,,,,,,
,,,,,,,,Fe I,4654.5,Ti I,4656,M,4654.5,,,,,,,,,
Ti I/Fe I 4668,B,,,,,Ti I/Fe I,4667.5,Ti I,4667.5,Fe I/Ti I,4668,,4667.5158,,,,,,,,,
Ti I 4682,B,,,,,Ti I/Y II,4681.91,Ti I/Fe I,4680-82,TI I,4682,TP,4681.4097,,,,,,,,,
,,,,,,,,,,,,TP,4689.4731,,,,,,,,,
Cr I 4699,C,,,,,Ti I/Cr I,4698.7,Cr I,4698.5,,,,4700.9118,,,,,,,,,
V I/Nd II 4707,C,,,,,V I/Nd II,4706.7,,,,,,4707.9471,,,,,,,,,
,,,,,,Ti I/Fe I/Zr I,4710-15,,,Ni I/Ti I,4715,MK,4713.5,,,,,,,,,
,,,,,,,,,,,,,4730.2745,,,,,,,,,
,,,,,,,,,,,,M,4743,,,,,,,,,
Fe I/Mn I 4754-58,C,,,,,V I/Mn I/Fe I/Cr I,4754-58,Mn I,4754.04,Fe I/Mn I,4754-58,M,4755.5,,,,,,,,,
Mn I 4767,C,,,,,V I/Mn I/Cr I,4766.6,,,Fe I/Mn I,4766-68,,4765.2329,,,,,,,,,
Mn I 4783,C,,,,,V I,4784.48,Mn I,4783.42,Mn I,4783,AW,4785.4512,,,,,,,,,
Fe I/Ti I 4790-92,C,,,,,,,Fe I/Ti I,4790-92,,,AW,4790.0811,,,,,,,,,
V I/Ti I 4800,C,,,,,V I/Ti I,4799.8,,,,,,4799.4577,,,,,,,,,
V I/Fe I 4808,C,,,,,V I/Fe I,4807.5,,,,,,4808.2257,,,,,,,,,
,,,,,,,,,,,,M,4825.5,,,,,,,,,
V I 4832,C,,,,,V I,4832,,,,,,4832.1628,,,,,,,,,
Ti I 4841,C,,,,,Ti I,4840.87,,,,,,4841.6995,,,,,,,,,
Hbeta,A,Hbeta,4861.33,,,Hbeta,4861.33,Hbeta,4861.33,Hbeta,4861.33,TP,4861.5342,,,,,,,,,
Fe I 4871-72,B,,,,,Fe I,4871-72,Fe I,4871-72,,,TP,4871.8984,,,,,,,,,
Ni I 4887,C,,,,,,,Ni I,4886.99,Fe I,4889,,4887.3905,,,,,,,,,
Fe I/Cr I 4903,C,,,,,Fe I/Cr I,4903.3,,,,,,4902.2653,,,,,,,,,
Fe I/Ni I 4912,C,,,,,Fe I/Ni I,4911.79,,,,,,4910.8762,,,,,,,,,
Fe I 4919-21,A,,,,,Fe I,4919-21,Fe I,4919-21,Fe I,4919-20,,4920.9157,,,,,,,,,
Fe I 4939,C,,,,,Fe I,4938.82,,,,,,4937.7001,,,,,,,,,
,,,,,,,,,,,,MSK,4947,,,,,,,,,
Fe I 4958,A,,,,,Fe I,4957.5,Fe I,4957.5,Fe I,4958,,4957.6217,,,,,,,,,
,,,,,,,,,,,,,4967.2878,,,,,,,,,
Ti I 4982,B,,,,,Ti I/Fe I,4982-83,,,Ti I,4982,,4983.4197,,,,,,,,,
Fe I 5002-06,B,,,,,Fe I,5002-06,,,Fe I/Ti I,5002-13,,5004.8487,,,,,,,,,
Fe I/Ti I 5012-16,B,,,,,Fe I/Ti I,5012-16,,,Fe I/Ti I,5002-13,,5014.578,,,,,,,,,
,,,,,,Ti I/Ni I,5038-40,,,Fe I,5041,,5040.1165,,,,,,,,,
,,,,,,,,,,,,,5050.7551,,,,,,,,,
Ti I/Fe I 5065-69,C,,,,,Ti I/Fe I,5065-69,,,,,,5067.3698,,,,,,,,,
,,,,,,,,,,,,,5080.8378,,,,,,,,,
Fe I 5099,B,,,,,Fe I,5099,,,Fe I,5099,,5099.0509,,,,,,,,,
,,,,,,,,,,,,,5108.8196,,,,,,,,,
