Fe I 4370,C,,,,,Fe I,4369.779,,,TP,4369.4448,,,,,,,,
Cr I/Sc II/Fe I 4374-76,C,,,,,Cr I/Sc II/Fe I,4374-76,Sc II/Fe I,4375-76,TP,4374.1934,,,,,,,,
Fe I 4383,A,,,Fe I,4383,Fe I,4383.557,Fe I,4383.55,,4385.0953,,,,,,,,
Ti II/Fe I 4395,C,,,,,Ti II/Fe I,4395,,,MSK,4393,,,,,,,,
,,,,,,,,,,,4398.5172,,,,,,,,
Fe I 4408,C,,,,,Fe I,4408.4,,,,4409.5229,,,,,,,,
,,,,Ti II,4417,Fe I,4415,Fe I,4415.13,,4416.5355,,,,,,,,
Fe I/Ca I 4430-34,C,,,,,Fe I/Ca I,4430-34,,,,4432.0213,,,,,,,,
Ti II 4444,B,,,Ti II,4444,Fe I/Ti II,4442-44,Fe I/Ti II,4442-44,,4443.5627,,,,,,,,
,,,,,,,,,,MSK,4450,,,,,,,,
Ni I/Fe I 4459,C,,,,,Ni I/Fe I,4459,,,TP,4459.5313,,,,,,,,
Ti II/Fe II 4469,C,,,,,Ti II/Fe II,4469,,,TP,4467.9917,,,,,,,,
Fe I 4482,C,,,Mg II,4481,Fe I,4482,Fe I,4482,,4481.9402,,,,,,,,
Fe I 4490,B,,,,,Fe I,4490,Fe I,4490,PK,4489.7969,,,,,,,,
Fe i 4495,B,,,,,Fe I,4494.6,Fe I,4494.57,PK,4493.6353,,,,,,,,
Ti II 4501,B,,,,,Ti II,4501.27,Ti II,4501.27,M,4500.5,,,,,,,,
,,,,,,,,,,,4508.775,,,,,,,,
,,,,,,,,,,M,4518,,,,,,,,
Fe I/Fe II 4523,C,,,,,Fe I/Fe II,4523,,,AW,4523.2837,,,,,,,,
Fe I 4529,C,,,,,Fe I,4528.6,Fe I/Ca I/Cr I,4526-29,AW,4528.6787,,,,,,,,
,,,,,,,,,,M,4543,,,,,,,,
Fe I/Ti I 4551-52,C,,,,,Fe I/Ti I,4551-52,,,AW,4552.1147,,,,,,,,
Fe I/Fe II 4556,C,,,,,Fe I/Fe II,4556,,,AW,4555.3999,,,,,,,,
Ti II 4564,B,,,,,Ti II,4563.76,Ti II,4563.76,,4564.1209,,,,,,,,
Ti II 4572,C,,,,,Ti II,4572,Ti II/Mg I,4572,,4573.3341,,,,,,,,
Ca I/Fe I 4582,C,,,,,Ca I/Fe I,4581.5,,,,4582.8811,,,,,,,,
,,,,,,,,,,,4591.6462,,,,,,,,
,,,,,,,,,,,4601.4179,,,,,,,,
Fe I 4619,C,,,,,Fe I,4619,,,,4618.138,,,,,,,,
,,,,,,,,,,TP,4630.1084,,,,,,,,
,,,,,,,,,,TP,4635.8208,,,,,,,,
Cr I/Fe I/Ni I 4646-49,C,,,,,,,Cr I/Fe I/Ni I,4646-49,,4647.6741,,,,,,,,
Fe I 4655,B,,,,,Fe I,4654.5,Fe I,4655,,4655.9742,,,,,,,,
Fe I 4668,B,,,,,Fe I,4668,Fe I/Ti I,4668,,4667.8743,,,,,,,,
Fe I 4679,C,,,,,,,Fe I,4679,,4680.993,,,,,,,,
Fe I/Ti I 4691,B,,,,,Fe I/Ti I,4691,Fe I/Ti I,4691,M,4691.5,,,,,,,,
Mg I 4703,B,,,,,Mg I,4703,Mg I,4703,M,4701,,,,,,,,
Fe I 4707-10,B,,,,,Fe I,4707-10,Fe I/Mn I,4707-10,,4707.8106,,,,,,,,
Ni I 4714,B,,,,,Ni I,4714.42,Ni I,4715,M,4715.5,,,,,,,,
,,,,,,,,,,PK,4730.1377,,,,,,,,
Fe I 4737,B,,,,,Fe I,4736.78,Fe I,4737,PK,4736.1431,,,,,,,,
Mn I/Ni I 4754-56,C,,,,,,,Mn I/Ni I,4754-56,M,4756,,,,,,,,
Mn I/Ni I 4762-64,C,,,,,Mn I/Ni I,4762-64,,,,4763.973,,,,,,,,
Fe I 4773,C,,,,,,,Fe I,4772.8,MK,4772,,,,,,,,
Mn I 4783,C,,,,,Mn I,4783,,,MK,4781,,,,,,,,
Ni I/Fe I 4787-90,C,,,,,Ni I/Fe I,4787-90,,,,4787.7435,,,,,,,,
Fe I/Ti I 4797-4800,C,,,,,,,Fe I/Ti I,4797-4800,MK,4800,,,,,,,,
Ti II 4805,C,,,,,Ti II,4805,,,,4805.9654,,,,,,,,
Mn I 4824,B,,,,,Mn I,4823.5,Mn I,4823.52,,4824.2606,,,,,,,,
,,,,,,,,,,AW,4835.3047,,,,,,,,
Fe I 4840,C,,,,,,,Fe I,4840,AW,4839.7026,,,,,,,,
Cr II 4848,C,,,,,,,Cr II,4848,M,4848.5,,,,,,,,
H-beta,A,Hbeta,4861.33,,,Hbeta,4861.342,Hbeta,4861.33,,4860.7617,,,,,,,,
Fe I 4871-72,B,,,,,Fe I,4871-72,Fe I,4872,,4872.3559,,,,,,,,
,,,,,,,,,,TP,4884.9829,,,,,,,,
Fe I 4891,B,,,,,Fe I,4891,Fe I,4891,TP,4890.1182,,,,,,,,
,,,,,,,,,,,4901.3263,,,,,,,,
Fe I 4910,C,,,,,,,Fe I,4910,,4911.0029,,,,,,,,
Fe I 4919-21,B,,,,,Fe I,4919-21,Fe I,4919,,4921.4964,,,,,,,,
Fe I/Ba II 4934,B,,,,,Fe I/Ba II,4934,Fe I/Ba II,4934,,4935.96,,,,,,,,
Fe I 4946,B,,,,,Fe I,4946.4,Fe I,4946.39,M,4946,,,,,,,,
Fe I 4957,B,,,,,Fe I,4957,Fe I,4957,,4957.2408,,,,,,,,
,,,,,,,,,,,4968.7719,,,,,,,,
Fe I/Ti I 4982-84,B,,,,,Fe I/Ti I,4982-84,Fe I/Ti I,4982-84,,4982.9979,,,,,,,,
,,,,,,,,,,,4992.6991,,,,,,,,
