Ca I 4581,C,,,,,,,Ca I,4581,V I/Ca I,4580-94,MK,4580.85,,,,,,,,
,,,,,,,,,,V I/Ca I,4580-94,MK,4587.49,,,,,,,,
,,,,,,,,,,,,,4598.88,,,,,,,,
,,,,,,,,,,,,MWK,4605.52,,,,,,,,
,,,,,,,,,,,,M,4614.53,,,,,,,,
TiO 4626,C,,,,,,,,,TiO,4626,MWK,4629.24,,,,,,,,
Cr I 4638,B,,,,,,,Cr I,4638,Cr I,4638,,4639.677,,,,,,,,
Cr I/V I/Ni I 4646-49,C,,,,,,,,,Cr I/V I/Ni I,4646-49,,4647.4251,,,,,,,,
Ti I 4656,C,,,,,,,,,Ti I,4656,MWK,4656.28,,,,,,,,
TiO 4668,C,,,,,,,,,TiO,4668,,4670.5073,,,,,,,,
,,,,,,,,,,,,MSK,4675.26,,,,,,,,
Ti I 4682,C,,,,,,,,,Ti I,4682,,4682.2634,,,,,,,,
,,,,,,,,,,,,MWK,4689.96,,,,,,,,
,,,,,,,,,,,,M,4700.87,,,,,,,,
,,,,,,,,,,,,TP,4709.4595,,,,,,,,
Ni I/Ti I 4715,C,,,,,,,,,Ni I/Ti I,4715,TP,4716.23,,,,,,,,
,,,,,,,,,,,,,4730.7688,,,,,,,,
,,,,,,,,,,,,,4742.012,,,,,,,,
TiO 4761-63,C,,,,,,,,,TiO,4761-63,,4767.6152,,,,,,,,
MgH 4780,C,,,,,,,,,MgH,4780,,4783.482,,,,,,,,
,,,,,,,,,,,,M,4800.02,,,,,,,,
TiO 4804,C,,,,,,,,,TiO,4804,,4810.4308,,,,,,,,
,,,,,,,,,,,,MS,4824.69,,,,,,,,
,,,,,,,,,,,,M,4831.8,,,,,,,,
,,,,,,,,,,,,M,4844.14,,,,,,,,
,,,,,,,,,,,,KP,4853.7661,,,,,,,,
H$\beta$,A,H-beta,4861.33,H-beta,,,,H-beta,4861.33,H-beta,4861.33,KP,4862.334,,,,,,,,
,,,,,,,,,,,,MK,4871.65,,,,,,,,
,,,,,,,,,,,,M,4883.51,,,,,,,,
,,,,,,,,,,,,M,4889.2,,,,,,,,
,,,,,,,,,,,,,4902.6979,,,,,,,,
,,,,,,,,,,,,M,4911.5,,,,,,,,
Fe I 4921,B,,,,,,,Fe I,4920.5,Fe I,4920.5,,4921.6533,,,,,,,,
,,,,,,,,,,,,,4939.0362,,,,,,,,
TiO 4955,B,,,Ti O alfa system,,,,,,TiO,4955,M,4959.89,,,,,,,,
,,,,,,,,,,,,MK,4966.05,,,,,,,,
,,,,,,,,,,,,,4982.5454,,,,,,,,
TiO 5003,B,,,Ti O alfa system,,,,,,TiO,5003,MWK,5005.9,,,,,,,,
Fe I/Ti I 5002-13,C,,,,,,,,,Fe I/Ti I,5002-13,,5014.7947,,,,,,,,
,,,,,,,,,,,,M,5022.98,,,,,,,,
,,,,,,,,,,,,,5040.0968,,,,,,,,
,,,,,,,,,,,,,5052.3961,,,,,,,,
,,,,,,,,,,,,,5067.3059,,,,,,,,
Fe I 5080-83,C,,,,,,,,,Fe I,5080-83,,5082.6653,,,,,,,,
,,,,,,,,,,,,TP,5101.1162,,,,,,,,
,,,,,,,,,,,,TP,5110.0762,,,,,,,,
Fe I 5126-28,C,,,,,,,,,Fe I,5126-28,,5127.2552,,,,,,,,
,,,,,,,,,,,,AW,5147.5742,,,,,,,,
,,,,,,,,,,,,AW,5153.6787,,,,,,,,
TiO 5167/Mg I 5167-73,B,Mg I,5167-73,TiO alfa system,,Mg I,5167-73,,,TiO,5167,,5172.4356,,,,,,,,
Mg I 5184,A,Mg I,5184,,,Mg I,5184,,,Mg I,5184,M,5182.85,,,,,,,,
Ti I 5193,C,,,,,Ti I/V I,5193,,,Fe I/Ti I,5192,,5193.777,,,,,,,,
Fe I/Cr I 5209,C,,,,,Fe I/Cr I,5208.6,,,Cr I/Fe I/Ti I,5205-10,,5208.0096,,,,,,,,
Fe I 5227,B,,,,,Fe I,5227,,,Fe I/Ti I,5227,,5226.0675,,,,,,,,
Fe I/Ti I 5233,C,,,,,,,,,Fe I/Ti I,5233,MS,5235.03,,,,,,,,
Fe I 5250-51,C,,,,,,,,,Fe I,5250-51,,5250.2562,,,,,,,,
Fe I 5270,B,,,,,Fe I,5269.5,,,Fe I/Ca I,5270,,5268.5596,,,,,,,,
Fe I 5284,B,,,,,Fe I,5283.6,,,Fe I,5282-84,M,5283.41,,,,,,,,
Cr I 5297-98,C,,,,,,,,,Cr I,5297-98,,5299.4848,,,,,,,,
Fe I 5328,B,,,,,Fe I,5328,,,Fe I,5328,,5329.7764,,,,,,,,
Fe I/Mn I 5340-41,C,,,,,,,,,Fe I/Mn I,5340-41,PK,5342.4492,,,,,,,,
Cr I 5346-48,C,,,,,,,,,Cr I,5346-48,PK,5347.9795,,,,,,,,
,,,,,,,,,,,,KP,5365.3779,,,,,,,,
Fe I 5371,B,,,,,Fe I,5371.49,,,Fe I ,5371,KP,5372.1016,,,,,,,,
Fe I 5397,B,,,,,Fe I,5397.13,,,Fe I,5397,TP,5395.7432,,,,,,,,
Fe I 5406,C,,,,,,,,,Fe I,5406,TP,5409.0127,,,,,,,,
Fe I 5434,B,,,,,Fe I,5434.5,,,Fe I,5434,,5434.2749,,,,,,,,
TiO 5448-51,B,,,TiO alfa system,,,,,,TiO,5448-51,,5456.4655,,,,,,,,
,,,,,,,,,,,,M,5473.64,,,,,,,,
,,,,,,,,,,,,MS,5491.19,,,,,,,,
TiO 5497,B,,,TiO alfa system,,,,,,TiO,5497,TP,5504.188,,,,,,,,
Ti I 5514,C,,,,,,,,,Ti I,5514,TP,5514.5708,,,,,,,,
Mg I 5528,C,,,,,,,,,Mg I,5528,PK,5529.6514,,,,,,,,
,,,,,,,,,,,,PK,5535.4927,,,,,,,,
Fe I/V I 5544-47,C,,,,,,,,,Fe I/V I,5544-47,MS,5547.17,,,,,,,,
,,,,,,,,,,,,M,5590.81,,,,,,,,
TiO 5597-03,C,,,,,,,,,TiO,5597-03,AW,5601.5522,,,,,,,,
,,,,,,,,,,,,AW,5605.2988,,,,,,,,
,,,,,,,,,,,,MK,5619.28,,,,,,,,
,,,,,,,,,,,,M,5631.61,,,,,,,,
,,,,,,,,,,,,,5641.2168,,,,,,,,
,,,,,,,,,,,,AW,5663.6636,,,,,,,,
,,,,,,,,,,,,AW,5671.3696,,,,,,,,
V I/Sc I/Cu I 5698-5700,C,,,,,,,,,V I/Sc I/Cu I,5698-5700,TSP,5702.6001,,,,,,,,
