Fe I/Fe II 4271-73,B,,,Fe I,4271,Fe I/Fe II,4271-73,Fe I/Fe II,4271-73,Fe II,4273.3,Fe I/Fe II,4172-73,Fe I,4271-72,,4272.6757,,,,,,,,,
,,,,,,,,Fe I/Ca I/Cr II,4282-84,Cr II,4284.2,Fe II/Cr II,4282-84,,,,4283.7886,,,,,,,,,
Ti II 4290,B,,,,,Ti II,4290.21,Ti II,4290.23,Ti II,4290.23,,,,,M,4290.76,,,,,,,,,
Ti II/Fe II 4300-03,C,,,,,,,Ti II,4300-03,Ti II/Fe II,4300-03,Ti II/Fe II,4300-03,,,,4301.041,,,,,,,,,
Ti II/Fe I 4308,B,,,,,Ti II/Fe I,4307.9,,,Ti II/Fe I,4307.9,Fe I,4307.9,Ti II,4307.9,,4308.1336,,,,,,,,,
,,,,,,Ti II/Fe I,4312-15,,,Ti II/Fe II/Fe I/Sc II,4313-15,Ti II/Fe II,4313-15,Sc II/Ti II,4314,M,4314.08,,,,,,,,,
H$\gamma$,A,Hgamma,4340.47,Hgamma,,,,,,Hgamma,4340.46,Hgamma,4340.6,Hgamma,4340.47,,4340.5916,,,,,,,,,
Ti II/Fe II 4368-69,B,,,,,,,Ti II/Fe II,4368-69,Ti II/Fe II,4368-69,Ti II/Fe II,4368-69,Ti II,4367.65,,4368.3267,,,,,,,,,
Sc II/Ti II 4375,C,,,,,,,Sc II/Y II,4374-75,Sc II/Ti II,4374.5,Ti II,4374.8,Sc II/Ti II,4375,MK,4375.02,,,,,,,,,
Fe I/Fe II 4383-85,B,,,Fe I,4383,,,Fe I/Fe II/Mg II,4384-85,Fe I/Fe II/Mg II,4384-85,Fe I/Fe II,4384-85,Fe I/Fe II,4383-85,,4384.9064,,,,,,,,,
Ti II 4395,B,,,Fe II/Ti II,4395-4400,,,Ti II,4394-96,Ti II,4395.04,Ti II,4395-96,Ti II,4395,,4394.2484,,,,,,,,,
Fe I 4405,B,,,,,,,Fe I,4404.75,Fe I,4404.75,Fe I,4404-8,,,,4405.2207,,,,,,,,,
Fe II/Ti II 4417-18,B,,,,,Fe I/Fe II/Ti II,4415-18,Fe II/Ti II,4417-18,Fe II,4416.82,Fe II/Ti II,4417-18,Fe II,4416.8,,4416.8517,,,,,,,,,
,,,,,,,,,,,,,,,,,4431.6082,,,,,,,,,
Ti II 4444,A,,,,,,,Ti II,4443.8,Ti II,4443.8,Ti II,4443.8,Ti II,4444,,4443.9923,,,,,,,,,
Ti II/Fe II 4450-52,C,,,,,,,Ti II,4450.49,Ti II/Fe II,4450-52,,,Ti II/Fe II,4451,M,4450.72,,,,,,,,,
Fe II 4456,C,,,,,,,Fe II,4455.6,Fe II,4455.26,,,,,M,4456.91,,,,,,,,,
Fe I 4462,B,,,,,,,Fe I,4461.65,Fe I,4461.65,Fe I,4461.7,,,M,4461.2,,,,,,,,,
Ti II 4468,B,,,,,,,Ti II,4468.49,Ti II,4468.5,Ti II,4468.5,Ti II,4468.6,,4469.5186,,,,,,,,,
Mg II 4481,A,,,Mg II,4481,,,Mg II,4481.3,Mg II,4481.3,Mg II,4481.3,Mg II,4481,,4481.3687,,,,,,,,,
Fe II 4489-91,A,,,,,,,Fe II,4489-91,Fe II,4489-91,Fe II,4489-91,Fe II,4489-91,,4490.0517,,,,,,,,,
Ti II 4501,A,,,,,,,Ti II,4501.27,Ti II,4501.27,Ti II,4501.2,Ti II,4501.27,,4500.8728,,,,,,,,,
Fe II 4508,A,,,,,,,Fe II,4508.28,Fe II,4508.28,Fe II,4508.3,Fe II,4508,,4507.861,,,,,,,,,
Fe II 4515,A,,,,,,,Fe II,4515.34,Fe II,4515.34,Fe II,4515.3,Fe II,4515.51,,4515.0667,,,,,,,,,
Fe II 4520-23,B,,,,,,,Fe II,4520-23,,,,,Fe II,4520-23,,4523.2637,,,,,,,,,
Fe II/Ti II 4534,B,,,,,Fe I/Fe II/Ti II,4534,,,Ti II/Fe II/Mg II,4534.04,Fe II,4534.2,Fe II,4534,,4533.4374,,,,,,,,,
Fe II 4542,B,,,,,,,Fe II,4541.52,Fe II,4541.52,Cr II/Fe II,4540-42,Fe II,4542,,4541.4285,,,,,,,,,
Fe II/Ti II 4550,C,,,,,,,,,Fe II/Ti II,4549.5,Fe II,4549.5,Fe II/Ti II,4550,TP,4549.5664,,,,,,,,,
Fe II/Cr II 4555-59,B,,,,,,,Fe II/Cr II,4556-59,Cr II/Fe II,4555-59,Cr II/Fe II,4555-59,Fe II,4556,TP,4556.7559,,,,,,,,,
Ti II 4564,B,,,,,Ti II,4563.76,Ti II,4563.77,Ti II,4563.77,Cr II,4565.8,,,,4564.6514,,,,,,,,,
Ti II 4572,A,,,,,,,Ti II,4571.97,Ti II,4571.98,Ti II,4572,Ti II,4571.97,,4571.9187,,,,,,,,,
Fe II 4583-84,B,,,,,,,Fe II,4583-84,Fe II,4583.83,Fe II,4583-84,Fe II,4583.8,TP,4583.3076,,,,,,,,,
Cr II 4588-92,B,,,,,,,Cr II,4588-92,Cr II/Ti II,4588-92,Cr II,4588-92,Cr II,4588,TP,4589.6431,,,,,,,,,
,,,,,,,,,,,,,,,,MK,4600.7,,,,,,,,,
Cr II 4617-19,B,,,,,,,Cr II,4617-19,Cr II/Fe II,4617-21,Cr II,4617-19,Cr II,4617-19,,4618.6717,,,,,,,,,
Fe II 4629,A,,,,,,,Fe II,4629.34,Fe II,4629.34,Fe II,4629.3,Fe II,4629.3,,4629.1812,,,,,,,,,
