Si III 5739,C,,,,,,,,,,,,,,,,,Si III,5739,M,5737.62,,,,,,,
,,,,,,,,,,,,,,,,,,,,M,5745.62,,,,,,,
He I 5876,A,,,,,,,,,He I,5876,,,He I,5876,He I,5875.62,He I,5876,,5876.918,,,,,,,
Na I 5890 (is),A,Na I ,5890,,,,,,,Na I,5890,,,Na I (is),5890,,,Na I,5889,,5890.3761,,,,,,,
Na I 5896 (is),A,Na I ,5896,,,,,,,Na I,5896,,,Na I (is),5896,,,Na I,5896,,5899.9151,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5911.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5920.8551,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5934.25,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5945.3082,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5958.6903,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5968.9712,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5977.8977,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,5990.1095,,,,,,,
,,,,,,Ne I,6096.17,,,,,,,,,C II,6095-98,,,M,6096.13,,,,,,,
Ne I 6143,C,,,,,Ne I,6143.06,,,,,,,,,,,,,M,6144.21,,,,,,,
,,,,,,,,,,,,,,,,,,,,M,6157.64,,,,,,,
Telluric $O_2$,A,,,,,,,,,,,,,Telluric O2,6277,,,,,telluric?,6279.9296,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6294.9881,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6318.5447,,,,,,,
Si II 6347,C,,,,,Si II,6347.1,,,,,,,,,,,,,,6348.0732,,,,,,,
Si II 6371,C,,,,,Si II,6371.36,,,,,,,,,,,,,,6372.6822,,,,,,,
Ne I 6383,C,,,,,Ne I,6382.99,,,,,,,,,Ne I,6382.99,,,M,6385.12,,,,,,,
Ne I 6402,C,,,,,Ne I,6402.25,,,,,,,,,Ne I,6402.25,,,,6403.69,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6476.9136,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6485.58,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6493.67,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6517.933,,,,,,,
,,,,,,,,,,,,,,,,,,,,telluric?,6535.3639,,,,,,,
H$\alpha$,A,Halfa,6563,,,,,,,Halfa,6562.8,,,Halfa,6563,Halfa,6562.82,Halfa,6562.82,,6563.8935,,,,,,,
He I 6678,A,,,,,,,,,,,,,,,,,He I,6678.15,,6679.63,,,,,,,
