short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
Ti II/Fe I/Sc II/Ti I 4306-08,A,4305.97,0.1044,15.4,other,confirmed,,"Ti II 4307.9, Fe I 4307.9, Sc II 4305.7, Ti I 4305.9"
Fe I/Sc II 4325-27,A,4326.12,0.0895,4.41,other,confirmed,,"Fe I 4325.8, Sc II 4325.0, Fe I 4327.1"
Hγ  4340,A,4340.88,0.454,8.5,Balmer,confirmed,,"H I 4340.4, H I 4340.5"
Ti II/Cr I/Fe I 4344-47,A,4346.46,0.0255,3.87,other,confirmed,,"Ti II 4344.3, Cr I 4344.5, Fe I 4346.6"
Cr I/Fe II/Mg I/Fe I 4352-53,A,4352.72,0.1112,5.98,other,confirmed,,"Cr I 4351.8, Fe II 4351.8, Mg I 4351.9, Fe I 4352.7"
Cr I/Y II/Fe I 4358-60,A,4359.6,0.0245,2.89,other,confirmed,,"Cr I 4359.6, Y II 4358.7, Fe I 4358.5"
Sc II/Ti II/Y II 4374-75,A,4373.64,0.0539,10.94,other,confirmed,,"Sc II 4374.5, Ti II 4374.8, Y II 4374.9"
Fe I/Ti II/Fe II 4384-87,A,4385.62,0.111,8.09,other,confirmed,,"Fe I 4383.5, Ti II 4386.9, Fe II 4385.4"
,A,4394.31,0.0297,3.88,other,uncertain_discarded,confirm frac too high (6.10),
Ti II/Sc II/Ni I 4400-02,A,4401.48,0.0466,10.69,other,confirmed,,"Ti II 4399.8, Sc II 4400.4, Ni I 4401.5"
Ti II/Fe II/Fe I/Sc II 4415-18,A,4416.96,0.0588,3.3,other,confirmed,,"Ti II 4417.7, Fe II 4416.8, Fe I 4415.1, Sc II 4415.6"
Ca I/Fe I 4433-36,A,4434.53,0.0529,4.31,other,confirmed,,"Ca I 4435.0, Ca I 4435.7, Fe I 4433.2, Fe I 4435.1"
Ti II/Fe I 4443-45,A,4443.75,0.0641,3.24,other,confirmed,,"Ti II 4443.8, Fe I 4443.2, Ti II 4444.6"
,A,4456.25,0.0367,3.42,other,unresolved_blend,"blend of 76 lines in window, strongest explains only 10% (< 10% needed)",
Fe I/Ti II 4459-64,A,4461.13,0.0785,11.03,other,confirmed,,"Fe I 4461.6, Fe I 4462.0, Fe I 4459.1, Ti II 4464.4"
Ti II/Fe I 4468-71,A,4469.94,0.0535,4.61,other,confirmed,,"Ti II 4468.5, Ti II 4470.9, Ti II 4469.1, Fe I 4469.4"
Fe I/Mg II 4481-82,A,4481.87,0.0934,3.7,other,confirmed,,"Mg II 4481.1, Fe I 4482.2, Fe I 4482.2"
Fe I/Fe II/Ti II 4491-95,A,4492.06,0.023,17.26,other,confirmed,,"Fe II 4491.4, Fe I 4490.8, Fe I 4494.6, Ti II 4493.5"
Fe II/Ti II/Ti I/Fe I 4515-18,A,4517.18,0.0419,6.88,other,confirmed,,"Fe II 4515.3, Ti II 4518.3, Ti I 4518.0, Fe I 4517.5"
Fe I/Ti II 4529-31,A,4529.09,0.0962,11.13,other,confirmed,,"Fe I 4528.6, Ti II 4529.5, Fe I 4531.1"
Ti II/Ti I/Fe II 4534-36,A,4534.98,0.0462,3.15,other,confirmed,,"Ti II 4534.0, Ti I 4534.8, Ti I 4535.6, Fe II 4534.2"
Ti II/Fe II 4549-50,A,4551.33,0.0673,7.77,other,confirmed,,"Ti II 4549.6, Fe II 4549.5, Ti II 4549.8"
Ba II/Fe II/Fe I 4554-56,A,4556.52,0.0287,3.35,other,confirmed,,"Ba II 4554.0, Fe II 4555.9, Fe I 4556.1"
Ti II/Cr II 4564-66,A,4565.49,0.0271,2.13,other,confirmed,,"Ti II 4563.8, Cr II 4565.7"
Fe II/Ca I/Fe I 4583-86,A,4584.16,0.0771,6.7,other,confirmed,,"Fe II 4583.8, Fe II 4582.8, Ca I 4585.9, Fe I 4584.6"
Fe I/Cr II/Ti II/Ni I 4590-93,A,4592.43,0.0229,3.95,other,confirmed,,"Fe I 4592.6, Cr II 4592.1, Ti II 4589.9, Ni I 4592.5"
Fe I/Cr I/Ni I 4598-4601,A,4598.59,0.026,13.21,other,confirmed,,"Fe I 4598.1, Cr I 4600.8, Ni I 4600.4, Fe I 4597.9"
Cr II/Fe II/Fe I 4619-21,A,4618.63,0.0254,4.15,other,confirmed,,"Cr II 4618.8, Fe II 4620.5, Fe I 4619.3"
Ni I/Fe I/Cr I 4646-49,A,4648.57,0.0389,3.88,other,confirmed,,"Ni I 4648.6, Fe I 4647.4, Cr I 4646.2"
Fe I/Sc II/Fe II 4667-70,A,4668.63,0.0992,5.6,other,confirmed,,"Fe I 4668.1, Fe I 4667.4, Sc II 4670.4, Fe II 4666.8"
Mg I/Ni I 4702-04,A,4702.02,0.0128,3.65,other,confirmed,,"Mg I 4703.0, Ni I 4703.8, Ni I 4701.5"
Fe I/Ti II 4707-09,A,4706.89,0.0415,10.58,other,confirmed,,"Fe I 4707.3, Ti II 4708.7, Fe I 4709.1"
Ni I/Fe I 4714-16,A,4715.16,0.0112,1.8,other,confirmed,,"Ni I 4714.4, Ni I 4715.8, Fe I 4714.4"
Fe II/Fe I 4731-34,A,4731.34,0.0447,4.92,other,confirmed,,"Fe II 4731.4, Fe I 4733.6, Fe I 4731.5"
Fe I/Cr I 4736-37,A,4736.75,0.0179,4.42,other,confirmed,,"Fe I 4736.8, Cr I 4737.4, Fe I 4735.8"
Ti II/Mn I 4764-66,A,4765.38,0.0635,6.21,other,confirmed,,"Ti II 4763.9, Mn I 4766.4, Mn I 4765.9, Ti II 4764.5"
Fe I/Ni I 4787-90,A,4788.31,0.0308,5.47,other,confirmed,,"Fe I 4789.6, Ni I 4786.5, Fe I 4786.8, Fe I 4788.8"
