wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
5327.65,0.0656,5.89,Gaussian,deblended,,other
5336.56,0.033,20.0,Gaussian,deblended,,other
5339.99,0.0258,4.16,Gaussian,deblended,,other
5348.28,0.0192,10.45,Gaussian,deblended,,other
5368.54,0.069,10.12,Gaussian,single,,other
5446.86,0.0447,4.19,Gaussian,single,,other
5477.49,0.0582,6.9,Gaussian,single,,other
5528.94,0.0423,8.29,Gaussian,single,,other
5588.52,0.0356,4.64,Gaussian,deblended,,other
5595.81,0.0408,18.57,Gaussian,deblended,,other
5601.87,0.0271,4.45,Gaussian,deblended,,other
5659.37,0.0551,10.34,Gaussian,single,,other
5685.5,0.0311,6.57,Gaussian,single,,other
5709.68,0.0399,6.23,Gaussian,single,,other
5753.36,0.023,5.36,Gaussian,single,,other
5856.95,0.0267,7.51,Gaussian,single,,other
5892.92,0.0753,9.54,Gaussian,single,,other
6102.66,0.0281,3.45,Gaussian,single,,other
6162.89,0.0261,5.91,Gaussian,single,,other
6279.15,0.0568,4.85,Gaussian,single,,other
6300.86,0.0247,4.98,Gaussian,single,,other
6317.83,0.0267,4.67,Gaussian,single,,other
6495.5,0.077,5.53,Gaussian,single,,other
6516.78,0.0353,3.85,Gaussian,single,,other
6562.78,0.3676,8.61,Voigt,single,Hα,Balmer
