wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
5425.53,0.0064,4.53,Gaussian,single,,other
5456.24,0.0034,3.61,Gaussian,deblended,,other
5462.32,0.0046,11.45,Gaussian,deblended,,other
5464.85,0.0024,3.73,Gaussian,deblended,,other
5477.9,0.0078,3.72,Gaussian,single,,other
5506.87,0.0095,7.86,Gaussian,single,,other
5527.33,0.0031,3.51,Gaussian,deblended,,other
5531.29,0.0133,9.26,Gaussian,deblended,,other
5535.68,0.0024,3.21,Gaussian,deblended,,other
5588.12,0.0073,5.04,Gaussian,single,,other
5616.29,0.004,3.2,Gaussian,single,,other
5661.68,0.0038,4.87,Gaussian,single,,other
5688.81,0.0226,12.66,Gaussian,deblended,,other
5699.95,0.0112,5.63,Gaussian,deblended,,other
5721.19,0.0079,5.47,Gaussian,single,,other
5745.83,0.0043,4.18,Gaussian,single,,other
5784.21,0.006,12.26,Gaussian,single,,other
5867.27,0.0043,17.01,Gaussian,deblended,,other
5891.24,0.1394,19.29,Gaussian,deblended,,other
5901.21,0.0472,6.58,Gaussian,deblended,,other
5909.4,0.0223,6.06,Gaussian,deblended,,other
5919.84,0.0991,18.17,Gaussian,deblended,,other
5922.57,0.0118,5.72,Gaussian,deblended,,other
5933.33,0.0183,3.81,Gaussian,deblended,,other
5945.65,0.131,12.6,Gaussian,deblended,,other
5959.11,0.0642,7.7,Gaussian,deblended,,other
5968.87,0.0746,7.16,Gaussian,deblended,,other
5977.63,0.0583,7.73,Gaussian,deblended,,other
5989.85,0.0418,13.43,Gaussian,deblended,,other
6002.18,0.0095,6.26,Gaussian,deblended,,other
6011.75,0.0094,20.0,Gaussian,deblended,,other
6148.65,0.0081,19.2,Gaussian,single,,other
6158.47,0.0092,5.89,Gaussian,deblended,,other
6242.56,0.0113,13.77,Gaussian,single,,other
6243.61,0.0112,13.67,Gaussian,single,,other
6270.97,0.0067,4.94,Gaussian,deblended,,other
6279.5,0.1051,7.64,Gaussian,deblended,,other
