wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
4656.22,0.0041,2.45,Gaussian,deblended,,other,uncertain_discarded,18,,
4667.31,0.0197,8.8,Gaussian,deblended,,other,confirmed,53,Fe II 4666.8,Fe II 4667
4679.61,0.0042,6.6,Gaussian,deblended,,other,confirmed,24,Fe I 4678.9,Fe I 4679
4693.95,0.0029,8.66,Gaussian,deblended,,other,confirmed,14,"S I 4694.1, Fe I 4691.4, S I 4695.4",S I/Fe I 4691-95
4697.21,0.001,2.89,Gaussian,deblended,,other,confirmed,8,"Ti II 4698.6, Cr II 4697.6",Ti II/Cr II 4698-99
4703.5,0.0128,8.68,Gaussian,deblended,,other,confirmed,17,Mg I 4703.0,Mg I 4703
4713.9,0.0064,4.78,Gaussian,deblended,,other,confirmed,21,Ni I 4714.4,Ni I 4714
4723.76,0.0025,3.06,Gaussian,deblended,,other,confirmed,7,"Zn I 4722.1, Cr II 4723.4",Zn I/Cr II 4722-23
4730.07,0.0033,3.18,Gaussian,deblended,,other,uncertain_discarded,16,,
4734.58,0.0062,10.5,Gaussian,deblended,,other,confirmed,11,C I 4734.3,C I 4734
4737.45,0.0013,3.68,Gaussian,deblended,,other,uncertain_discarded,15,,
4763.75,0.0036,3.77,Gaussian,deblended,,other,uncertain_discarded,15,,
4766.8,0.0081,9.65,Gaussian,deblended,,other,confirmed,26,C I 4766.7,C I 4767
4779.32,0.0086,7.34,Gaussian,deblended,,other,confirmed,16,Ti II 4780.0,Ti II 4780
4799.51,0.0019,2.76,Gaussian,deblended,,other,uncertain_discarded,11,,
4804.75,0.0075,6.06,Gaussian,deblended,,other,confirmed,13,Ti II 4805.1,Ti II 4805
4812.16,0.0014,3.44,Gaussian,deblended,,other,uncertain_discarded,9,,
4847.05,0.0438,10.98,Gaussian,deblended,,other,uncertain_discarded,35,,
4861.32,0.5683,18.49,Voigt,deblended,Hβ,Balmer,confirmed,38,"H I 4861.3, H I 4861.4",H I 4861
4877.39,0.0358,14.82,Gaussian,deblended,,other,confirmed,41,Cr II 4876.4,Cr II 4876
4919.52,0.003,2.55,Gaussian,deblended,,other,uncertain_discarded,10,,
4922.89,0.0324,6.11,Gaussian,deblended,,other,confirmed,18,Fe II 4923.9,Fe II 4924
4935.22,0.0127,6.52,Gaussian,deblended,,other,confirmed,25,Ba II 4934.1,Ba II 4934
4952.75,0.0045,5.56,Gaussian,deblended,,other,confirmed,11,Fe II 4951.6,Fe II 4952
4957.63,0.0149,4.71,Gaussian,deblended,,other,confirmed,6,"Fe I 4957.6, Fe I 4957.3",Fe I 4957-58
4983.14,0.0136,5.84,Gaussian,deblended,,other,confirmed,29,Fe I 4982.5,Fe I 4982
4991.85,0.0016,2.42,Gaussian,deblended,,other,uncertain_discarded,12,,
5001.84,0.003,2.98,Gaussian,deblended,,other,uncertain_discarded,15,,
5004.27,0.0152,6.74,Gaussian,deblended,,other,confirmed,23,"Fe I 5005.7, Fe I 5006.1",Fe I 5006
5014.18,0.0028,3.8,Gaussian,deblended,,other,uncertain_discarded,23,,
5018.56,0.0367,5.59,Gaussian,deblended,,other,confirmed,35,Fe II 5018.4,Fe II 5018
5035.2,0.0028,3.14,Gaussian,deblended,,other,uncertain_discarded,15,,
5039.01,0.0281,8.14,Gaussian,deblended,,other,uncertain_discarded,16,,
5042.83,0.0043,3.27,Gaussian,deblended,,other,uncertain_discarded,12,,
5056.84,0.0177,5.31,Gaussian,deblended,,other,confirmed,16,"Si II 5056.0, Si II 5056.3",Si II 5056
5099.85,0.0137,5.72,Gaussian,single,,other,confirmed,26,Fe II 5100.7,Fe II 5101
5129.65,0.0145,9.2,Gaussian,deblended,,other,confirmed,42,Ti II 5129.2,Ti II 5129
5138.78,0.0032,6.87,Gaussian,deblended,,other,uncertain_discarded,19,,
5146.75,0.0041,18.84,Gaussian,deblended,,other,uncertain_discarded,67,,
5169.14,0.0495,6.85,Gaussian,deblended,,other,confirmed,21,"Fe II 5169.0, Mg I 5167.3",Fe II/Mg I 5167-69
5172.97,0.003,2.83,Gaussian,deblended,,other,uncertain_discarded,12,,
