wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
4200.03,0.0572,8.66,Gaussian,single,,other,confirmed,349,"Fe I 4199.1, Fe I 4202.0, Fe I 4198.3, Fe I 4200.9",Fe I 4198-4202
4217.08,0.0214,6.83,Gaussian,deblended,,other,uncertain_discarded,209,,
4225.83,0.07,4.96,Gaussian,deblended,,other,confirmed,145,"Ca I 4226.7, Fe I 4227.4, Fe I 4225.4",Fe I/Ca I 4225-27
4235.83,0.0246,7.52,Gaussian,deblended,,other,uncertain_discarded,204,,
4248.64,0.0388,8.17,Gaussian,deblended,,other,uncertain_discarded,213,,
4260.31,0.0349,5.67,Gaussian,deblended,,other,uncertain_discarded,182,,
4272.38,0.0641,7.06,Gaussian,single,,other,confirmed,237,"Fe I 4271.8, Fe I 4271.1, Fe II 4273.3, Cr I 4274.8",Fe I/Fe II/Cr I 4271-75
4289.01,0.0546,5.87,Gaussian,deblended,,other,uncertain_discarded,239,,
4300.05,0.068,7.76,Gaussian,deblended,,other,uncertain_discarded,295,,
4313.79,0.0668,20.0,Gaussian,deblended,,other,uncertain_discarded,212,,
4327.07,0.0442,8.03,Gaussian,deblended,,other,confirmed,190,"Fe I 4325.8, Sc II 4325.0, Fe I 4327.1",Fe I/Sc II 4325-27
4340.33,0.5542,15.88,Voigt,deblended,Hγ,Balmer,confirmed,171,"H I 4340.4, H I 4340.5, Ti II 4337.9",H I/Ti II 4338-40
4352.62,0.0703,7.21,Gaussian,deblended,,other,confirmed,101,"Cr I 4351.8, Fe II 4351.8, Mg I 4351.9, Fe I 4352.7",Cr I/Fe II/Mg I/Fe I 4352-53
4357.89,0.0159,11.21,Gaussian,deblended,,other,uncertain_discarded,127,,
4371.43,0.0244,6.73,Gaussian,deblended,,other,uncertain_discarded,215,,
4382.53,0.013,20.0,Gaussian,deblended,,other,uncertain_discarded,79,,
4385.37,0.0381,4.73,Gaussian,deblended,,other,confirmed,69,"Fe II 4385.4, Ti II 4386.9, Fe II 4384.3",Fe II/Ti II 4384-87
4392.6,0.0183,17.14,Gaussian,deblended,,other,uncertain_discarded,108,,
4399.32,0.0267,10.91,Gaussian,deblended,,other,uncertain_discarded,134,,
4416.27,0.0516,5.34,Gaussian,deblended,,other,uncertain_discarded,171,,
4427.74,0.0119,12.14,Gaussian,deblended,,other,uncertain_discarded,106,,
4434.16,0.018,3.89,Gaussian,deblended,,other,uncertain_discarded,62,,
4436.96,0.0042,7.87,Gaussian,deblended,,other,uncertain_discarded,58,,
4444.13,0.0452,6.53,Gaussian,deblended,,other,uncertain_discarded,125,,
4456.46,0.0481,9.75,Gaussian,deblended,,other,uncertain_discarded,149,,
4468.05,0.0392,6.56,Gaussian,deblended,,other,uncertain_discarded,179,,
4481.31,0.0975,6.19,Gaussian,deblended,,other,confirmed,108,"Mg II 4481.1, Mg II 4481.3, Fe I 4482.2",Mg II/Fe I 4481-82
4491.14,0.0387,7.55,Gaussian,deblended,,other,confirmed,114,"Fe II 4491.4, Ti II 4488.3, Fe II 4489.2",Fe II/Ti II 4488-91
4500.82,0.0157,4.95,Gaussian,deblended,,other,uncertain_discarded,121,,
4552.36,0.0689,12.22,Gaussian,single,,other,confirmed,330,"Ba II 4554.0, Ti II 4549.6, Fe II 4549.5",Ba II/Ti II/Fe II 4549-54
4584.85,0.0547,15.92,Gaussian,single,,other,confirmed,282,"Fe II 4583.8, Ca I 4585.9, Fe II 4582.8",Fe II/Ca I 4583-86
