short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
Fe II/Ti II 4549-50,A,4550.31,0.0399,7.26,other,confirmed,,"Fe II 4549.5, Ti II 4549.6"
,A,4556.99,0.0105,4.65,other,uncertain_discarded,confirm frac too high (3.76),
,A,4559.5,0.0057,10.2,other,uncertain_discarded,confirm frac too high (5.44),
,A,4572.0,0.0035,11.31,other,uncertain_discarded,confirm frac too high (5.90),
Fe II 4576,A,4576.46,0.0089,4.05,other,confirmed,,Fe II 4576.3
Fe II 4583-84,A,4583.79,0.0426,7.66,other,confirmed,,"Fe II 4583.8, Fe II 4582.8"
,A,4589.97,0.004,3.1,other,uncertain_discarded,confirm frac too high (5.58),
Cr II/Fe II 4592-96,A,4593.32,0.0078,7.86,other,confirmed,,"Cr II 4592.1, Fe II 4596.0"
Fe II 4629,A,4631.08,0.0274,9.84,other,confirmed,,Fe II 4629.3
,A,4637.58,0.0036,4.68,other,uncertain_discarded,confirm frac too high (3.09),
Fe II 4641,A,4641.98,0.0055,8.36,other,confirmed,,Fe II 4640.8
Fe II 4667,A,4667.05,0.0179,14.9,other,confirmed,,Fe II 4666.8
He I 4713,A,4713.48,0.0169,5.56,other,confirmed,,"He I 4713.1, He I 4713.2"
Mn II/Ni II 4756,A,4754.04,0.0022,2.14,other,confirmed,,"Mn II 4755.7, Ni II 4755.6"
Ti II 4780,A,4778.76,0.0057,6.27,other,confirmed,,Ti II 4780.0
Ti II 4805,A,4802.38,0.0068,11.69,other,confirmed,,Ti II 4805.1
Cr II/S II 4835-36,A,4834.31,0.0092,4.69,other,confirmed,,"Cr II 4836.2, S II 4834.6"
Mg II/Cr II 4851-56,A,4853.7,0.0129,13.5,other,confirmed,,"Mg II 4851.1, Cr II 4856.2"
Hβ  4861,A,4861.2,0.213,6.85,Balmer,confirmed,,"H I 4861.3, H I 4861.4"
Cr II/S II 4885-86,A,4886.13,0.0148,15.68,other,confirmed,,"Cr II 4884.6, S II 4885.6"
Fe II 4908,A,4904.9,0.0043,4.3,other,confirmed,,Fe II 4908.1
Fe II/Ti II 4911-13,A,4911.65,0.0027,4.1,other,confirmed,,"Fe II 4913.3, Ti II 4911.2"
S II 4917-18,A,4918.75,0.0102,7.05,other,confirmed,,"S II 4917.2, S II 4918.0"
Fe II 4924,A,4923.43,0.0713,5.72,other,confirmed,,Fe II 4923.9
Fe II 4948-49,A,4947.54,0.0068,20.0,other,confirmed,,"Fe II 4948.8, Fe II 4948.1"
Fe II 4952,A,4951.85,0.0071,5.45,other,confirmed,,Fe II 4951.6
,A,4959.64,0.0055,3.52,other,uncertain_discarded,confirm frac too low (0.23),
O I 4968-69,A,4967.05,0.0112,5.6,other,confirmed,,"O I 4967.9, O I 4968.8"
Fe II 5002-04,A,5002.81,0.0168,5.45,other,confirmed,,"Fe II 5001.9, Fe II 5004.2"
S II 5010,A,5010.03,0.0064,8.28,other,confirmed,,S II 5009.6
Fe II 5018,A,5017.45,0.0651,6.42,other,confirmed,,Fe II 5018.4
Fe II/S II 5031-32,A,5030.79,0.0099,7.02,other,confirmed,,"Fe II 5030.6, S II 5032.4"
Si II 5041,A,5040.06,0.0443,10.08,other,confirmed,,Si II 5041.0
Si II 5056,A,5056.29,0.055,5.82,other,confirmed,,"Si II 5056.0, Si II 5056.3"
Fe II 5071-76,A,5073.57,0.0153,9.74,other,confirmed,,"Fe II 5070.9, Fe II 5075.8"
,A,5086.02,0.0064,8.72,other,confirmed,,
Fe II 5094,A,5093.45,0.008,4.56,other,confirmed,,Fe II 5093.6
Fe II 5101,A,5101.39,0.0149,5.96,other,confirmed,,Fe II 5100.7
Fe II 5113,A,5111.69,0.0044,10.87,other,confirmed,,Fe II 5113.0
,A,5144.79,0.0053,6.34,other,uncertain_discarded,confirm frac too high (3.42),
Fe II 5157,A,5157.77,0.0077,20.0,other,confirmed,,Fe II 5157.3
Fe II 5169,A,5169.01,0.0612,5.75,other,confirmed,,Fe II 5169.0
Ti II 5189,A,5186.83,0.0075,10.0,other,confirmed,,Ti II 5188.7
Fe II 5198,A,5198.09,0.026,7.75,other,confirmed,,Fe II 5197.6
,A,5226.1,0.0062,4.5,other,uncertain_discarded,confirm frac too high (5.29),
Fe II 5235,A,5233.82,0.0152,11.73,other,confirmed,,Fe II 5234.6
,A,5248.9,0.0047,8.6,other,uncertain_discarded,confirm frac too high (3.67),
Fe II 5260,A,5260.29,0.0143,11.84,other,confirmed,,Fe II 5260.2
Fe II 5276,A,5275.88,0.0267,6.91,other,confirmed,,Fe II 5276.0
,A,5284.69,0.0047,5.25,other,uncertain_discarded,confirm frac too high (3.62),
Fe II 5317,A,5316.7,0.0334,7.01,other,confirmed,,"Fe II 5316.6, Fe II 5316.8"
Fe II 5353-55,A,5352.74,0.0037,2.6,other,confirmed,,"Fe II 5353.2, Fe II 5355.4"
Fe II 5363,A,5362.48,0.0159,9.49,other,confirmed,,Fe II 5362.9
Fe II 5414,A,5415.73,0.0104,9.87,other,confirmed,,Fe II 5414.1
S II/Fe II 5430-33,A,5431.5,0.0143,11.61,other,confirmed,,"S II 5432.8, Fe II 5430.0"
Fe II 5506,A,5506.85,0.0177,8.89,other,confirmed,,Fe II 5506.2
S II/Fe II 5640-44,A,5642.3,0.0225,12.78,other,confirmed,,"S II 5640.4, S II 5640.0, Fe II 5643.9"
,A,5720.08,0.0165,7.97,other,uncertain_discarded,confirm frac too low (0.02),
,A,5728.19,0.0092,3.78,other,uncertain_discarded,confirm frac too low (0.17),
,A,5740.79,0.013,18.28,other,uncertain_discarded,confirm frac too low (0.06),
,A,5771.04,0.0088,6.4,other,no_lines_in_window,,
,A,5780.19,0.0381,6.85,other,uncertain_discarded,confirm frac too low (0.22),
,A,5795.66,0.0132,9.79,other,uncertain_discarded,confirm frac too low (0.06),
,A,5850.75,0.0206,18.84,other,uncertain_discarded,confirm frac too low (0.08),
Si II 5867-68,A,5867.45,0.0073,5.39,other,confirmed,,"Si II 5868.4, Si II 5867.4"
He I 5876,A,5875.31,0.0546,5.65,other,confirmed,,He I 5875.6
,A,5889.03,0.0392,4.27,other,uncertain_discarded,confirm frac too low (0.17),
,A,5891.89,0.1073,13.94,other,uncertain_discarded,confirm frac too low (0.02),
,A,5897.7,0.0228,5.6,other,uncertain_discarded,confirm frac too low (0.13),
Fe II 5903,A,5899.0,0.0071,5.73,other,confirmed,,Fe II 5902.8
,A,5909.72,0.0202,3.22,other,uncertain_discarded,confirm frac too low (0.01),
,A,5919.0,0.0459,12.2,other,no_lines_in_window,,
,A,5922.38,0.0114,6.25,other,uncertain_discarded,confirm frac too low (0.03),
,A,5944.58,0.0866,9.99,other,uncertain_discarded,confirm frac too low (0.02),
Si II 5958,A,5957.7,0.0411,5.65,other,confirmed,,Si II 5957.6
,A,5971.02,0.0236,18.84,other,uncertain_discarded,confirm frac too low (0.03),
Si II 5979,A,5977.54,0.0319,6.03,other,confirmed,,Si II 5978.9
,A,6201.95,0.0139,11.73,other,uncertain_discarded,confirm frac too low (0.05),
Fe II 6238,A,6240.52,0.0239,15.19,other,confirmed,,Fe II 6238.4
,A,6280.43,0.0958,11.04,other,uncertain_discarded,confirm frac too low (0.00),
Si II 6347,A,6346.4,0.1054,6.41,other,confirmed,,Si II 6347.1
Si II 6371,A,6370.79,0.086,6.53,other,confirmed,,Si II 6371.4
Fe II 6456,A,6456.7,0.0262,6.16,other,confirmed,,Fe II 6456.4
,A,6467.3,0.0125,6.24,other,uncertain_discarded,confirm frac too low (0.05),
,A,6474.83,0.0221,4.11,other,uncertain_discarded,confirm frac too low (0.03),
,A,6493.95,0.0231,5.29,other,uncertain_discarded,confirm frac too low (0.20),
,A,6516.51,0.0944,10.09,other,uncertain_discarded,confirm frac too low (0.10),
,A,6532.95,0.0265,6.15,other,uncertain_discarded,confirm frac too low (0.06),
Mg II 6546,A,6547.04,0.0244,14.97,other,confirmed,,"Mg II 6546.0, Mg II 6545.9"
,A,6561.72,0.0639,5.89,Balmer,uncertain_discarded,confirm frac too high (5.64),
,A,6613.22,0.0166,6.37,other,uncertain_discarded,confirm frac too low (0.03),
He I 6678,A,6676.61,0.04,7.46,other,confirmed,,He I 6678.1
