wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3721.73,0.1292,5.3,Gaussian,single,,other
3733.87,0.1816,6.31,Gaussian,single,,other
3749.89,0.2597,7.95,Gaussian,single,,other
3770.18,0.3116,8.49,Gaussian,single,,other
3797.67,0.3238,9.03,Gaussian,single,,other
3819.24,0.1376,5.67,Gaussian,deblended,,other
3835.05,0.3511,8.78,Voigt,deblended,H-9,Balmer
3870.98,0.0431,8.37,Gaussian,deblended,,other
3881.67,0.0126,8.12,Gaussian,deblended,,other
3888.91,0.3565,8.58,Voigt,deblended,H-8,Balmer
3926.28,0.0681,15.09,Gaussian,deblended,,other
3926.82,0.069,15.89,Gaussian,single,,other
3934.49,0.0223,2.78,Gaussian,deblended,,other
3969.64,0.3796,9.54,Voigt,single,Heps,Balmer
4009.34,0.0894,5.61,Gaussian,single,,other
4026.03,0.1794,5.89,Gaussian,single,,other
4072.36,0.0231,7.92,Gaussian,single,,other
4101.74,0.356,8.74,Voigt,deblended,Hδ,Balmer
4120.93,0.0712,4.52,Gaussian,single,,other
4131.05,0.0206,4.55,Gaussian,deblended,,other
4138.23,0.0067,3.33,Gaussian,deblended,,other
4143.79,0.1129,5.91,Gaussian,deblended,,other
4151.76,0.0132,6.26,Gaussian,deblended,,other
4168.89,0.0189,8.58,Gaussian,single,,other
4267.25,0.046,4.58,Gaussian,single,,other
4340.83,0.3684,8.52,Voigt,deblended,Hγ,Balmer
4349.41,0.0219,5.25,Gaussian,deblended,,other
4388.41,0.1262,5.72,Gaussian,single,,other
4438.43,0.0116,18.84,Gaussian,single,,other
4465.26,0.0156,4.12,Gaussian,deblended,,other
4471.74,0.1812,5.82,Gaussian,deblended,,other
4481.04,0.0489,5.93,Gaussian,deblended,,other
4528.41,0.0128,10.31,Gaussian,single,,other
4553.19,0.0296,4.96,Gaussian,single,,other
4571.08,0.0194,11.5,Gaussian,single,,other
4645.68,0.0181,13.03,Gaussian,single,,other
4701.46,0.0162,20.0,Gaussian,deblended,,other
4713.78,0.0509,4.88,Gaussian,deblended,,other
4861.6,0.3397,9.01,Voigt,single,Hβ,Balmer
4922.32,0.1206,5.92,Gaussian,single,,other
4943.67,0.0124,6.9,Gaussian,single,,other
5015.57,0.0614,5.72,Gaussian,single,,other
5036.02,0.0134,19.03,Gaussian,deblended,,other
5047.44,0.0326,5.6,Gaussian,deblended,,other
5056.37,0.0063,8.08,Gaussian,deblended,,other
5454.01,0.0115,3.47,Gaussian,single,,other
5631.45,0.0251,2.05,Gaussian,single,,other
5641.0,0.0103,14.98,Gaussian,single,,other
5740.27,0.02,6.64,Gaussian,single,,other
5780.8,0.0136,3.83,Gaussian,single,,other
5875.95,0.1095,6.11,Gaussian,deblended,,other
5891.35,0.0812,10.24,Gaussian,deblended,,other
5898.47,0.0231,6.08,Gaussian,deblended,,other
5919.44,0.0173,9.57,Gaussian,single,,other
5943.77,0.0231,7.54,Gaussian,single,,other
6280.46,0.057,9.48,Gaussian,single,,other
6346.93,0.0151,6.17,Gaussian,single,,other
6515.65,0.03,7.14,Gaussian,single,,other
6562.86,0.249,10.66,Voigt,single,Hα,Balmer
6678.33,0.0967,6.46,Gaussian,single,,other
6719.68,0.0112,2.63,Gaussian,single,,other
