wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
5265.75,0.0171,4.51,Gaussian,deblended,,other
5270.71,0.0771,12.08,Gaussian,deblended,,other
5277.79,0.0099,3.86,Gaussian,deblended,,other
5284.07,0.0334,5.25,Gaussian,deblended,,other
5317.52,0.0306,3.9,Gaussian,single,,other
5328.34,0.0521,5.71,Gaussian,single,,other
5340.6,0.026,5.12,Gaussian,single,,other
5369.49,0.056,11.69,Gaussian,single,,other
5377.33,0.0311,19.83,Gaussian,single,,other
5405.12,0.0303,15.6,Gaussian,single,,other
5447.26,0.0389,5.13,Gaussian,deblended,,other
5453.38,0.0258,18.84,Gaussian,single,,other
5456.27,0.0244,6.14,Gaussian,deblended,,other
5477.89,0.0427,5.54,Gaussian,single,,other
5531.18,0.0272,11.68,Gaussian,single,,other
5588.65,0.0293,4.59,Gaussian,deblended,,other
5601.92,0.01,5.07,Gaussian,deblended,,other
5616.87,0.028,7.75,Gaussian,deblended,,other
5626.16,0.0157,6.18,Gaussian,deblended,,other
5661.32,0.0319,10.68,Gaussian,single,,other
5685.83,0.0219,8.63,Gaussian,single,,other
5710.19,0.018,7.59,Gaussian,single,,other
5856.78,0.0289,10.55,Gaussian,single,,other
5893.1,0.0717,11.97,Gaussian,single,,other
5946.26,0.0193,10.39,Gaussian,single,,other
6023.84,0.0153,8.83,Gaussian,single,,other
6103.9,0.0192,3.77,Gaussian,single,,other
6141.01,0.0328,8.18,Gaussian,single,,other
6279.07,0.0508,5.77,Gaussian,single,,other
6318.12,0.0131,5.36,Gaussian,single,,other
6347.41,0.0177,5.03,Gaussian,single,,other
6435.87,0.0107,9.2,Gaussian,single,,other
6460.82,0.0231,11.46,Gaussian,single,,other
6496.08,0.0659,6.7,Gaussian,single,,other
6517.35,0.0373,6.2,Gaussian,deblended,,other
6539.06,0.0175,20.0,Gaussian,deblended,,other
6551.87,0.0485,13.82,Gaussian,deblended,,other
6563.69,0.3964,10.86,Voigt,deblended,Hα,Balmer
6574.34,0.0273,7.37,Gaussian,deblended,,other
6585.75,0.028,20.0,Gaussian,deblended,,other
6678.68,0.0133,5.5,Gaussian,single,,other
6757.75,0.0136,3.59,Gaussian,single,,other
