Fe I 4272,A,4273.36,0.0968,6.05,other,confirmed,,Fe I 4271.8,,,,,,,,,,,,,,,,,,
Ti II 4294,A,4292.74,0.1049,20,other,confirmed,,Ti II 4294.1,,,,,,,,,,,,,,,,,,
Ti II 4302,A,4302.32,0.0449,6.07,other,confirmed,,Ti II 4301.9,,,,,,,,,,,,,,,,,,
Ti II 4313,A,4311.8,0.1244,20,other,confirmed,,Ti II 4312.9,,,,,,,,,,,,,,,,,,
Fe I 4326,A,4327.14,0.0816,6.89,other,confirmed,,Fe I 4325.8,,,,,,,,,,,,,,,,,,
Hγ  4340,A,4341.4,0.5274,14.32,Balmer,confirmed,,"H I 4340.4, H I 4340.5",,,,,,,,,,,,,,,,,,
Cr I 4352,A,4353.06,0.0541,5.01,other,confirmed,,Cr I 4351.8,,,,,,,,,,,,,,,,,,
,A,4357.66,0.0328,11.68,other,unresolved_blend,"blend of 114 lines in window, strongest explains only 13% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Sc II 4374,A,4373.57,0.0476,7.9,other,confirmed,,Sc II 4374.5,,,,,,,,,,,,,,,,,,
Ti II 4387,A,4385.81,0.0906,5.17,other,confirmed,,Ti II 4386.9,,,,,,,,,,,,,,,,,,
Ti II 4400,A,4400.12,0.0435,13.04,other,confirmed,,Ti II 4399.8,,,,,,,,,,,,,,,,,,
Ti II 4418,A,4417.71,0.0701,4.71,other,confirmed,,Ti II 4417.7,,,,,,,,,,,,,,,,,,
Fe I 4431,A,4429.97,0.0131,13.61,other,confirmed,,Fe I 4430.6,,,,,,,,,,,,,,,,,,
Ca I 4435,A,4435.81,0.0296,3.55,other,confirmed,,Ca I 4435.0,,,,,,,,,,,,,,,,,,
Ti II 4444,A,4444.69,0.0701,4.06,other,confirmed,,Ti II 4443.8,,,,,,,,,,,,,,,,,,
Ti II 4450,A,4449.19,0.0098,3.8,other,confirmed,,Ti II 4450.5,,,,,,,,,,,,,,,,,,
,A,4459.48,0.061,12.47,other,unresolved_blend,"blend of 92 lines in window, strongest explains only 13% (< 15% needed)",,,,,,,,,,,,,,,,,,,
Ti II 4468,A,4470.14,0.0526,6.48,other,confirmed,,Ti II 4468.5,,,,,,,,,,,,,,,,,,
Mg II 4481,A,4482.62,0.0715,6.23,other,confirmed,,Mg II 4481.1,,,,,,,,,,,,,,,,,,
Fe II 4491,A,4493.18,0.0483,10.26,other,confirmed,,Fe II 4491.4,,,,,,,,,,,,,,,,,,
Ti II 4501,A,4502.04,0.0262,4.36,other,confirmed,,Ti II 4501.3,,,,,,,,,,,,,,,,,,
Fe II 4508,A,4509.64,0.0159,2.95,other,confirmed,,Fe II 4508.3,,,,,,,,,,,,,,,,,,
Fe II 4542,A,4542.33,0.0116,2.63,other,confirmed,,Fe II 4541.5,,,,,,,,,,,,,,,,,,
Ti II 4550,A,4550.6,0.0356,3.13,other,confirmed,,Ti II 4549.6,,,,,,,,,,,,,,,,,,
Ba II 4554,A,4555.05,0.0544,13.49,other,confirmed,,Ba II 4554.0,,,,,,,,,,,,,,,,,,
Fe II 4556,A,4556.17,0.0325,4.94,other,confirmed,,Fe II 4555.9,,,,,,,,,,,,,,,,,,
Ti II 4564,A,4565.74,0.0253,3.6,other,confirmed,,Ti II 4563.8,,,,,,,,,,,,,,,,,,
Ti II 4572,A,4573.69,0.0197,2.2,other,confirmed,,Ti II 4572.0,,,,,,,,,,,,,,,,,,
Fe II 4583,A,4581.68,0.0294,20,other,confirmed,,Fe II 4582.8,,,,,,,,,,,,,,,,,,
Fe II 4584,A,4584.43,0.0385,4.67,other,confirmed,,Fe II 4583.8,,,,,,,,,,,,,,,,,,
Cr II 4592,A,4592.06,0.0268,12.53,other,confirmed,,Cr II 4592.1,,,,,,,,,,,,,,,,,,
Ni I 4605,A,4605.46,0.0143,7.51,other,confirmed,,Ni I 4605.0,,,,,,,,,,,,,,,,,,
Cr II 4619,A,4619.56,0.0297,6.43,other,confirmed,,Cr II 4618.8,,,,,,,,,,,,,,,,,,
