short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
Cr II/Fe II 4856,A,4855.29,0.0077,3.27,other,confirmed,,"Cr II 4856.2, Fe II 4855.5"
Hβ  4861,A,4860.86,0.228,6.5,Balmer,confirmed,,"H I 4861.3, H I 4861.4"
Fe I 4920,A,4918.95,0.0111,5.35,other,confirmed,,Fe I 4920.5
Fe II 4924,A,4923.44,0.0903,5.26,other,confirmed,,Fe II 4923.9
Fe II 5002-04,A,5002.48,0.0156,6.41,other,confirmed,,"Fe II 5001.9, Fe II 5004.2"
Fe II 5018,A,5017.6,0.0827,5.62,other,confirmed,,Fe II 5018.4
Si II/Fe II 5036-41,A,5038.11,0.0435,12.98,other,confirmed,,"Si II 5041.0, Fe II 5035.7"
Si II 5056,A,5056.05,0.0526,5.32,other,confirmed,,"Si II 5056.0, Si II 5056.3"
Fe II 5169,A,5168.5,0.082,5.48,other,confirmed,,Fe II 5169.0
Fe II 5198,A,5197.31,0.0411,6.45,other,confirmed,,Fe II 5197.6
Fe II 5217,A,5215.31,0.0191,6.11,other,confirmed,,Fe II 5216.9
Fe II/Ti II 5227,A,5226.32,0.0183,5.17,other,confirmed,,"Fe II 5227.5, Ti II 5226.5"
Fe II 5235,A,5234.53,0.0348,6.39,other,confirmed,,Fe II 5234.6
,A,5261.42,0.0093,5.46,other,uncertain_discarded,confirm frac too high (3.53),
Fe II/Cr II 5275-76,A,5275.31,0.04,6.6,other,confirmed,,"Fe II 5276.0, Cr II 5275.0"
Cr II 5306-08,A,5309.31,0.0043,7.77,other,confirmed,,"Cr II 5308.4, Cr II 5305.9"
Fe II 5317,A,5315.87,0.0507,5.54,other,confirmed,,"Fe II 5316.6, Fe II 5316.8"
Fe II 5326,A,5325.3,0.0079,11.49,other,confirmed,,Fe II 5325.6
Fe II 5363,A,5361.68,0.0285,8.95,other,confirmed,,Fe II 5362.9
Fe II 5506,A,5506.96,0.0211,9.04,other,confirmed,,Fe II 5506.2
Fe II 5535,A,5534.68,0.0179,16.44,other,confirmed,,Fe II 5534.8
S II/Fe II 5640-44,A,5640.48,0.0153,14.63,other,confirmed,,"S II 5640.0, S II 5640.4, Fe II 5643.9"
,A,5686.14,0.017,7.34,other,uncertain_discarded,confirm frac too low (0.06),
,A,5779.43,0.0676,6.91,other,uncertain_discarded,confirm frac too low (0.10),
