Sr II 4216,A,4215.7,0.0162,5.86,Gaussian,deblended,,other,confirmed,34,Sr II 4215.5
Ca I/Fe I 4227,A,4226.13,0.0264,5.65,Gaussian,deblended,,other,confirmed,28,"Ca I 4226.7, Fe I 4227.4"
Fe I/Fe II 4233-36,A,4234.14,0.0206,5.65,Gaussian,deblended,,other,confirmed,37,"Fe II 4233.2, Fe I 4233.6, Fe I 4235.9"
Fe I 4250-51,A,4249.73,0.0196,8.76,Gaussian,deblended,,other,confirmed,43,"Fe I 4250.8, Fe I 4250.1"
Fe I 4260,A,4259.81,0.0217,6.48,Gaussian,deblended,,other,confirmed,44,Fe I 4260.5
Fe I 4271-72,A,4272.22,0.0211,8.31,Gaussian,deblended,,other,confirmed,22,"Fe I 4271.8, Fe I 4271.1"
,A,4299.48,0.0166,6.02,Gaussian,deblended,,other,uncertain_discarded,62,
H$\gamma$ 4340,A,4340.57,0.6335,18.12,Voigt,deblended,Hγ,Balmer,confirmed,61,"H I 4340.4, H I 4340.5"
Fe II 4385,A,4386.42,0.0242,7.86,Gaussian,deblended,,other,confirmed,47,Fe II 4385.4
,A,4396.93,0.021,8.94,Gaussian,deblended,,other,uncertain_discarded,56,
Ti II/Fe II 4417-18,A,4416.87,0.0357,4.9,Gaussian,deblended,,other,confirmed,31,"Ti II 4417.7, Fe II 4416.8"
,A,4442.52,0.003,20,Gaussian,deblended,,other,uncertain_discarded,111,
Ti II/Fe I 4445-50,A,4446.2,0.0279,12.08,Gaussian,deblended,,other,confirmed,68,"Ti II 4444.6, Fe I 4447.7, Ti II 4450.5"
,A,4469.58,0.0235,6.79,Gaussian,deblended,,other,uncertain_discarded,61,
Mg II 4481,A,4481.36,0.0752,4.71,Gaussian,deblended,,other,confirmed,26,"Mg II 4481.1, Mg II 4481.3"
Fe II 4489-91,A,4490.81,0.0226,5.83,Gaussian,deblended,,other,confirmed,41,"Fe II 4491.4, Fe II 4489.2"
Ti II 4501,A,4501.22,0.0176,5.65,Gaussian,deblended,,other,confirmed,35,Ti II 4501.3
Fe II 4508,A,4508.62,0.0131,5.65,Gaussian,deblended,,other,confirmed,20,Fe II 4508.3
Fe II 4520-23,A,4521.7,0.0296,8.39,Gaussian,deblended,,other,confirmed,43,"Fe II 4522.6, Fe II 4520.2"
Ti II 4534,A,4532.96,0.0319,9.07,Gaussian,deblended,,other,confirmed,57,Ti II 4534.0
Ba II 4554,A,4552.4,0.0584,12.25,Gaussian,deblended,,other,confirmed,64,Ba II 4554.0
,A,4565.28,0.0081,17.61,Gaussian,deblended,,other,uncertain_discarded,55,
Fe II/Cr II 4584-88,A,4585.69,0.0324,17.9,Gaussian,deblended,,other,confirmed,99,"Fe II 4583.8, Cr II 4588.2"
Cr II/Fe II 4619-21,A,4618.74,0.0257,6.42,Gaussian,deblended,,other,confirmed,28,"Cr II 4618.8, Fe II 4620.5"
Fe II 4629,A,4631.66,0.0319,9.58,Gaussian,deblended,,other,confirmed,22,Fe II 4629.3
,A,4636.26,0.005,3.71,Gaussian,deblended,,other,uncertain_discarded,12,
Fe I/Fe II 4641-43,A,4641.55,0.0046,15.48,Gaussian,deblended,,other,confirmed,26,"Fe I 4641.2, Fe I 4643.5, Fe II 4640.8"
Fe II/Ti II 4657,A,4656.27,0.0047,2.02,Gaussian,deblended,,other,confirmed,15,"Fe II 4657.0, Ti II 4657.2"
,A,4663.91,0.0013,3.69,Gaussian,deblended,,other,uncertain_discarded,21,
Fe II 4667,A,4667.77,0.0236,8.91,Gaussian,deblended,,other,confirmed,25,Fe II 4666.8
,A,4675.01,0.0009,5.51,Gaussian,deblended,,other,uncertain_discarded,9,
Fe I 4679,A,4680.12,0.0071,5.05,Gaussian,deblended,,other,confirmed,18,Fe I 4678.9
Ni I/Ca I 4685-86,A,4686.54,0.0024,2.95,Gaussian,deblended,,other,confirmed,9,"Ni I 4686.2, Ca I 4685.3"
S I 4695,A,4696.5,0.0021,2.37,Gaussian,deblended,,other,confirmed,10,S I 4695.4
Mg I 4703,A,4702.63,0.0121,6.2,Gaussian,deblended,,other,confirmed,10,Mg I 4703.0
Ti II 4709,A,4710.66,0.0033,5.59,Gaussian,deblended,,other,confirmed,13,Ti II 4708.7
,A,4715.04,0.0012,2.61,Gaussian,deblended,,other,uncertain_discarded,14,
Fe II 4731,A,4732.11,0.0081,3.86,Gaussian,deblended,,other,confirmed,16,Fe II 4731.4
Fe I 4737,A,4738.51,0.0072,7.19,Gaussian,deblended,,other,confirmed,11,Fe I 4736.8
,A,4739.95,0.0009,3.15,Gaussian,deblended,,other,uncertain_discarded,10,
Fe I/Si I 4746-48,A,4746.79,0.002,1.53,Gaussian,deblended,,other,confirmed,3,"Fe I 4745.8, Si I 4748.0"
Ni I/Cr I 4752,A,4751.34,0.0007,1.43,Gaussian,deblended,,other,confirmed,4,"Ni I 4752.4, Cr I 4752.1"
Mn II/Mn I/Ni I 4754-57,A,4755.79,0.0029,3.95,Gaussian,deblended,,other,confirmed,11,"Mn II 4755.7, Mn I 4754.0, Ni I 4756.5"
,A,4764.37,0.0107,4.92,Gaussian,deblended,,other,confirmed,21,
