wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
3704.12,0.0295,5.65,Gaussian,deblended,,other
3711.92,0.0458,3.35,Gaussian,single,,other
3722.28,0.1507,4.82,Gaussian,deblended,,other
3734.66,0.2321,6.82,Gaussian,deblended,,other
3749.94,0.3215,7.25,Gaussian,deblended,,other
3771.11,0.4336,9.48,Gaussian,deblended,,other
3798.11,0.5436,13.13,Gaussian,deblended,,other
3835.52,0.5992,16.05,Gaussian,deblended,,other
3888.6,0.6234,17.87,Gaussian,deblended,,other
3904.84,0.0918,19.45,Gaussian,deblended,,other
3933.49,0.2347,5.25,Gaussian,deblended,,other
3969.77,0.654,18.0,Voigt,deblended,Hε,Balmer
3985.38,0.0362,6.81,Gaussian,deblended,,other
4023.68,0.0027,6.19,Gaussian,deblended,,other
4028.38,0.0163,14.41,Gaussian,deblended,,other
4047.33,0.0113,8.27,Gaussian,deblended,,other
4076.07,0.0119,17.18,Gaussian,deblended,,other
4101.65,0.6552,19.08,Voigt,deblended,Hδ,Balmer
4130.33,0.0262,4.56,Gaussian,deblended,,other
4148.01,0.0096,17.61,Gaussian,deblended,,other
4161.09,0.0143,7.01,Gaussian,deblended,,other
4177.33,0.0514,14.82,Gaussian,deblended,,other
4200.77,0.0281,9.82,Gaussian,deblended,,other
4215.7,0.0162,5.86,Gaussian,deblended,,other
4226.13,0.0264,5.65,Gaussian,deblended,,other
4234.14,0.0206,5.65,Gaussian,deblended,,other
4249.73,0.0196,8.76,Gaussian,deblended,,other
4259.81,0.0217,6.48,Gaussian,deblended,,other
4272.22,0.0211,8.31,Gaussian,deblended,,other
4274.27,0.0147,5.65,Gaussian,deblended,,other
4299.48,0.0166,6.02,Gaussian,deblended,,other
4323.47,0.0266,17.59,Gaussian,deblended,,other
4340.57,0.6335,18.12,Voigt,deblended,Hγ,Balmer
4354.03,0.0478,10.61,Gaussian,deblended,,other
4386.42,0.0242,7.86,Gaussian,deblended,,other
4396.93,0.021,8.94,Gaussian,deblended,,other
4416.87,0.0357,4.9,Gaussian,deblended,,other
4442.52,0.003,20.0,Gaussian,deblended,,other
4446.2,0.0279,12.08,Gaussian,deblended,,other
4469.58,0.0235,6.79,Gaussian,deblended,,other
4481.36,0.0752,4.71,Gaussian,deblended,,other
4490.81,0.0226,5.83,Gaussian,deblended,,other
4501.22,0.0176,5.65,Gaussian,deblended,,other
4508.62,0.0131,5.65,Gaussian,deblended,,other
4521.7,0.0296,8.39,Gaussian,deblended,,other
4532.96,0.0319,9.07,Gaussian,deblended,,other
4552.4,0.0584,12.25,Gaussian,deblended,,other
4565.28,0.0081,17.61,Gaussian,deblended,,other
4585.69,0.0324,17.9,Gaussian,deblended,,other
4618.74,0.0257,6.42,Gaussian,deblended,,other
4631.66,0.0319,9.58,Gaussian,deblended,,other
4636.26,0.005,3.71,Gaussian,deblended,,other
4641.55,0.0046,15.48,Gaussian,deblended,,other
4656.27,0.0047,2.02,Gaussian,deblended,,other
4663.91,0.0013,3.69,Gaussian,deblended,,other
4667.77,0.0236,8.91,Gaussian,deblended,,other
4675.01,0.0009,5.51,Gaussian,deblended,,other
