wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag,label_status,n_candidate_lines,labels,short_label
4637.1,0.0016,4.25,Gaussian,deblended,,other,confirmed,5,Fe II 4635.3,Fe II 4635
4663.78,0.0032,3.53,Gaussian,deblended,,other,confirmed,5,Al II 4663.1,Al II 4663
4670.54,0.0063,12.33,Gaussian,deblended,,other,uncertain_discarded,5,,
4711.2,0.001,2.43,Gaussian,deblended,,other,no_lines_in_window,0,,
4713.74,0.0164,5.31,Gaussian,deblended,,other,confirmed,4,"He I 4713.1, He I 4713.2, He I 4713.4",He I 4713
4739.63,0.0043,3.85,Gaussian,single,,other,confirmed,3,"Mg II 4739.6, Mg II 4739.7",Mg II 4740
4792.37,0.0035,3.01,Gaussian,single,,other,confirmed,2,S II 4792.0,S II 4792
4849.97,0.0208,8.88,Gaussian,deblended,,other,uncertain_discarded,7,,
4861.16,0.3835,12.5,Voigt,deblended,Hβ,Balmer,confirmed,12,"H I 4861.3, H I 4861.4",H I 4861
4868.31,0.013,20.0,Gaussian,deblended,,other,uncertain_discarded,12,,
4918.36,0.0018,2.62,Gaussian,deblended,,other,confirmed,2,"S II 4917.2, S II 4918.0",S II 4917-18
4922.28,0.0432,6.59,Gaussian,deblended,,other,confirmed,3,"He I 4921.9, Fe II 4923.9",He I/Fe II 4922-24
4925.83,0.0024,2.68,Gaussian,deblended,,other,confirmed,2,"S II 4924.1, S II 4925.3",S II 4924-25
5006.32,0.0016,13.94,Gaussian,deblended,,other,uncertain_discarded,23,,
5016.33,0.0214,6.4,Gaussian,deblended,,other,confirmed,8,He I 5015.7,He I 5016
5019.19,0.0018,2.59,Gaussian,deblended,,other,uncertain_discarded,9,,
5028.63,0.0033,2.82,Gaussian,deblended,,other,confirmed,5,Fe II 5030.6,Fe II 5031
5039.64,0.0208,12.48,Gaussian,deblended,,other,confirmed,14,Si II 5041.0,Si II 5041
5043.04,0.0035,2.52,Gaussian,deblended,,other,confirmed,4,Fe II 5045.1,Fe II 5045
5052.16,0.0021,7.32,Gaussian,deblended,,other,confirmed,9,He I 5047.7,He I 5048
