,A,4148.85,0.005,5.34,Gaussian,deblended,,other,confirmed,5,"S II 4146.9, S II 4153.1"
S II 4163,A,4163.8,0.0039,4.39,Gaussian,deblended,,other,confirmed,8,S II 4162.7
Fe II/He I 4169-73,A,4172.46,0.0095,10.9,Gaussian,deblended,,other,confirmed,7,"Fe II 4173.4, He I 4169.0"
,A,4175.87,0.0015,4.23,Gaussian,deblended,,other,uncertain_discarded,7,
,A,4268.23,0.0056,4.11,Gaussian,deblended,,other,uncertain_discarded,9,
,A,4330.84,0.0209,7.05,Gaussian,deblended,,other,uncertain_discarded,14,
H$\gamma$ 4340,A,4340.59,0.4437,11.56,Voigt,deblended,Hγ,Balmer,confirmed,14,"H I 4340.4, H I 4340.5"
,A,4349.77,0.005,4.57,Gaussian,deblended,,other,confirmed,5,"O II 4349.4, Ar II 4348.1"
,A,4351.99,0.0205,9.83,Gaussian,deblended,,other,confirmed,8,Fe II 4351.8
,A,4384.96,0.0023,2.91,Gaussian,deblended,,other,uncertain_discarded,6,
He I 4388,A,4388.43,0.0588,7.19,Gaussian,deblended,,other,confirmed,4,He I 4387.9
,A,4394.55,0.0066,5.88,Gaussian,deblended,,other,confirmed,6,"Ti II 4395.0, Fe III 4395.8"
Mg II 4428,A,4427.02,0.0017,3.41,Gaussian,deblended,,other,confirmed,2,Mg II 4428.0
Mg II/Fe III 4431-34,A,4432.52,0.0035,9.91,Gaussian,deblended,,other,confirmed,6,"Mg II 4434.0, Fe III 4431.0"
He I 4438,A,4436.46,0.0036,3.91,Gaussian,deblended,,other,confirmed,4,He I 4437.6
He I 4471,A,4471.63,0.0779,7.3,Gaussian,deblended,,other,confirmed,14,He I 4471.5
Mg II 4481,A,4481.57,0.0502,7.33,Gaussian,deblended,,other,confirmed,7,"Mg II 4481.1, Mg II 4481.3"
Fe II 4489-91,A,4489.87,0.0115,5.3,Gaussian,deblended,,other,confirmed,8,"Fe II 4491.4, Fe II 4489.2"
,A,4519.81,0.0015,3.02,Gaussian,deblended,,other,uncertain_discarded,2,
Fe II/S II 4523-25,A,4524.03,0.0067,6.17,Gaussian,deblended,,other,confirmed,8,"Fe II 4522.6, S II 4524.7"
,A,4549.25,0.0024,3.37,Gaussian,deblended,,other,uncertain_discarded,3,
,A,4551.65,0.013,7.72,Gaussian,deblended,,other,uncertain_discarded,4,
Cr II/Fe II 4556-59,A,4559.22,0.0046,5.38,Gaussian,deblended,,other,confirmed,4,"Cr II 4558.6, Fe II 4555.9"
Fe II/Ti II 4572-76,A,4574.27,0.0019,3.45,Gaussian,deblended,,other,confirmed,5,"Fe II 4576.3, Ti II 4572.0"
,A,4580.1,0.0088,10.63,Gaussian,deblended,,other,uncertain_discarded,6,
,A,4585.52,0.0021,3.63,Gaussian,deblended,,other,uncertain_discarded,5,
Fe II 4629,A,4631.86,0.0087,6.12,Gaussian,deblended,,other,confirmed,6,Fe II 4629.3
Fe II 4635,A,4637.1,0.0016,4.25,Gaussian,deblended,,other,confirmed,5,Fe II 4635.3
Al II 4663,A,4663.78,0.0032,3.53,Gaussian,deblended,,other,confirmed,5,Al II 4663.1
,A,4670.54,0.0063,12.33,Gaussian,deblended,,other,uncertain_discarded,5,
,A,4711.2,0.001,2.43,Gaussian,deblended,,other,no_lines_in_window,0,
He I 4713,A,4713.74,0.0164,5.31,Gaussian,deblended,,other,confirmed,4,"He I 4713.1, He I 4713.2, He I 4713.4"
Mg II 4740,A,4739.63,0.0043,3.85,Gaussian,single,,other,confirmed,3,"Mg II 4739.6, Mg II 4739.7"
S II 4792,A,4792.37,0.0035,3.01,Gaussian,single,,other,confirmed,2,S II 4792.0
,A,4849.97,0.0208,8.88,Gaussian,deblended,,other,uncertain_discarded,7,
H$\beta$ 4861,A,4861.16,0.3835,12.5,Voigt,deblended,Hβ,Balmer,confirmed,12,"H I 4861.3, H I 4861.4"
,A,4868.31,0.013,20,Gaussian,deblended,,other,uncertain_discarded,12,
,A,4918.36,0.0018,2.62,Gaussian,deblended,,other,confirmed,2,"S II 4917.2, S II 4918.0"
He I/Fe II 4922-24,A,4922.28,0.0432,6.59,Gaussian,deblended,,other,confirmed,3,"He I 4921.9, Fe II 4923.9"
,A,4925.83,0.0024,2.68,Gaussian,deblended,,other,confirmed,2,"S II 4924.1, S II 4925.3"
,A,5006.32,0.0016,13.94,Gaussian,deblended,,other,uncertain_discarded,23,
He I 5016,A,5016.33,0.0214,6.4,Gaussian,deblended,,other,confirmed,8,He I 5015.7
,A,5019.19,0.0018,2.59,Gaussian,deblended,,other,uncertain_discarded,9,
Fe II 5031,A,5028.63,0.0033,2.82,Gaussian,deblended,,other,confirmed,5,Fe II 5030.6
Si II 5041,A,5039.64,0.0208,12.48,Gaussian,deblended,,other,confirmed,14,Si II 5041.0
Fe II 5045,A,5043.04,0.0035,2.52,Gaussian,deblended,,other,confirmed,4,Fe II 5045.1
,A,5052.16,0.0021,7.32,Gaussian,deblended,,other,confirmed,9,He I 5047.7
Si II 5056,A,5056.87,0.0187,4.95,Gaussian,deblended,,other,confirmed,7,"Si II 5056.0, Si II 5056.3"
,A,5095.68,0.0017,3.71,Gaussian,deblended,,other,uncertain_discarded,8,
Fe II 5101,A,5100.83,0.0053,6,Gaussian,deblended,,other,confirmed,11,"Fe II 5100.7, Fe II 5100.6"
Fe II 5149,A,5148.45,0.0038,17.51,Gaussian,deblended,,other,confirmed,43,Fe II 5149.5
Fe III 5156,A,5157.4,0.0024,5.54,Gaussian,deblended,,other,confirmed,18,Fe III 5156.1
Fe II 5169,A,5168.08,0.0093,6.57,Gaussian,deblended,,other,confirmed,22,Fe II 5169.0
,A,5185.17,0.0012,7.81,Gaussian,deblended,,other,uncertain_discarded,22,
Fe II/Ti II 5189-90,A,5189.31,0.003,3.74,Gaussian,deblended,,other,confirmed,4,"Fe II 5190.0, Ti II 5188.7, Fe II 5189.8"
,A,5191.79,0.0025,17.69,Gaussian,deblended,,other,confirmed,19,
,A,5198.73,0.0049,4.73,Gaussian,deblended,,other,uncertain_discarded,14,
