wavelength_A,amplitude,fwhm_A,profile,source,balmer_name,tag
5890.64,0.1077,19.01,Gaussian,deblended,,other
5901.23,0.0476,6.98,Gaussian,deblended,,other
5908.78,0.0175,5.48,Gaussian,deblended,,other
5919.05,0.0891,18.02,Gaussian,deblended,,other
5922.09,0.0088,5.78,Gaussian,deblended,,other
5940.97,0.0383,17.75,Gaussian,deblended,,other
5943.75,0.029,6.48,Gaussian,deblended,,other
5948.96,0.0597,15.28,Gaussian,deblended,,other
5958.78,0.0275,4.65,Gaussian,deblended,,other
5968.87,0.0594,13.6,Gaussian,deblended,,other
5978.39,0.0331,5.65,Gaussian,deblended,,other
5988.78,0.0314,13.16,Gaussian,deblended,,other
6002.9,0.0117,20.0,Gaussian,deblended,,other
6156.83,0.0066,8.01,Gaussian,single,,other
6269.84,0.0065,5.75,Gaussian,deblended,,other
6279.16,0.1006,7.26,Gaussian,deblended,,other
6284.43,0.0058,3.52,Gaussian,deblended,,other
6293.79,0.0341,14.39,Gaussian,deblended,,other
6306.96,0.0056,7.24,Gaussian,deblended,,other
6318.04,0.0073,6.92,Gaussian,deblended,,other
6346.7,0.0222,6.27,Gaussian,single,,other
6371.1,0.0161,5.24,Gaussian,single,,other
6460.7,0.0187,9.43,Gaussian,deblended,,other
6477.69,0.0687,18.45,Gaussian,deblended,,other
6485.59,0.0116,4.51,Gaussian,deblended,,other
6493.43,0.0291,7.41,Gaussian,deblended,,other
6516.96,0.0774,7.91,Gaussian,single,,other
6534.03,0.0147,3.51,Gaussian,deblended,,other
6545.4,0.0305,6.58,Gaussian,deblended,,other
6550.97,0.0086,5.09,Gaussian,deblended,,other
6561.85,0.2463,16.54,Voigt,deblended,Hα,Balmer
6574.39,0.0207,6.64,Gaussian,deblended,,other
6584.41,0.0103,5.83,Gaussian,deblended,,other
6678.11,0.0233,6.96,Gaussian,single,,other
