H-15 3712,A,3711.88,0.0594,3.47,Gaussian,single,,other,confirmed,51,H I 3712.0
H-14 3722,A,3722.19,0.1274,5.09,Gaussian,deblended,,other,confirmed,77,H I 3721.9
H-13 3734,A,3734.17,0.2392,6.01,Gaussian,single,,other,confirmed,94,H I 3734.4
,A,3746.89,0.015,2.66,Gaussian,deblended,,other,uncertain_discarded,29,
H-12 3750,A,3749.94,0.3137,6.64,Gaussian,deblended,,other,confirmed,56,"H I 3750.1, H I 3750.2"
,A,3755.3,0.0222,4.15,Gaussian,deblended,,other,confirmed,46,
,A,3765.88,0.0108,3.45,Gaussian,deblended,,other,uncertain_discarded,35,
H-11 3771,A,3770.7,0.4319,9.28,Gaussian,deblended,,other,confirmed,42,"H I 3770.6, H I 3770.7"
,A,3777.26,0.0134,3.85,Gaussian,deblended,,other,uncertain_discarded,39,
,A,3789.21,0.0249,4.24,Gaussian,deblended,,other,confirmed,77,Fe I 3787.9
H -10 3798,A,3797.76,0.5577,11.44,Gaussian,deblended,,other,confirmed,112,H I 3797.9
,A,3805.27,0.0392,3.55,Gaussian,deblended,,other,confirmed,32,Fe I 3805.3
,A,3807.58,0.0323,5.65,Gaussian,deblended,,other,confirmed,51,"Fe I 3806.7, Ni I 3807.1"
,A,3814.19,0.0211,3.69,Gaussian,deblended,,other,uncertain_discarded,36,
,A,3824.89,0.042,5.82,Gaussian,deblended,,other,confirmed,62,"Fe I 3824.4, Fe I 3825.9"
H-9 3835,A,3835.29,0.6209,14.36,Gaussian,deblended,,other,confirmed,67,H I 3835.4
,A,3847.55,0.0554,7.74,Gaussian,deblended,,other,confirmed,61,Fe I 3846.8
,A,3853.17,0.0157,13.27,Gaussian,deblended,,other,uncertain_discarded,115,
,A,3875.82,0.0421,7.41,Gaussian,deblended,,other,confirmed,80,Fe I 3878.0
H-8 3889,A,3888.82,0.6397,16.63,Gaussian,deblended,,other,confirmed,143,"H I 3889.0, H I 3889.1"
,A,3902.32,0.0381,6.69,Gaussian,deblended,,other,confirmed,91,Fe I 3902.9
,A,3906.09,0.074,17.88,Gaussian,deblended,,other,confirmed,143,Si I 3905.5
,A,3928.05,0.0152,2.75,Gaussian,deblended,,other,uncertain_discarded,41,
Ca II 3934,A,3933.61,0.2454,5.57,Gaussian,deblended,,other,confirmed,49,Ca II 3933.7
,A,3953.78,0.019,12.03,Gaussian,deblended,,other,confirmed,84,V II 3952.0
,A,3955.97,0.0453,10.92,Gaussian,deblended,,other,confirmed,17,"Fe I 3956.7, Fe I 3956.4"
,A,3959.19,0.0279,5.63,Gaussian,deblended,,other,confirmed,29,Al I 3961.5
H$\epsilon$ 3970,A,3969.88,0.6705,15.39,Voigt,deblended,Hε,Balmer,confirmed,87,"H I 3970.0, H I 3970.1"
,A,3981.5,0.0151,7.54,Gaussian,deblended,,other,confirmed,37,"Ti II 3982.0, Fe I 3981.8"
,A,3982.74,0.0551,7.73,Gaussian,deblended,,other,uncertain_discarded,49,
,A,4005.36,0.0144,3.76,Gaussian,deblended,,other,uncertain_discarded,31,
Ti II 4012,A,4014.01,0.0143,4.9,Gaussian,deblended,,other,confirmed,47,Ti II 4012.4
,A,4024.53,0.0119,3.17,Gaussian,deblended,,other,uncertain_discarded,38,
Ti II/Mn I 4028-31,A,4029.16,0.0248,9.02,Gaussian,deblended,,other,confirmed,34,"Ti II 4028.3, Mn I 4030.8"
,A,4033.96,0.004,3.17,Gaussian,deblended,,other,uncertain_discarded,33,
Fe I 4046,A,4046.29,0.0276,4.37,Gaussian,deblended,,other,confirmed,32,Fe I 4045.8
Ti II 4054,A,4053.95,0.0132,4.72,Gaussian,deblended,,other,confirmed,50,Ti II 4053.8
