short_label,rank,wavelength_A,amplitude,fwhm_A,tag,label_status,discard_reason,labels
,A,5919.88,0.0487,11.73,other,uncertain_discarded,confirm frac too low (0.01),
,A,5945.07,0.0681,10.94,other,uncertain_discarded,confirm frac too low (0.00),
He II 6171,A,6170.66,0.0225,19.43,other,confirmed,,He II 6170.7
,A,6202.11,0.021,13.0,other,uncertain_discarded,confirm frac too high (inf),
,A,6281.4,0.132,11.49,other,no_lines_in_window,,
He II 6311,A,6313.22,0.0241,20.0,other,confirmed,,He II 6310.9
He II 6406,A,6405.87,0.0261,15.34,other,confirmed,,He II 6406.4
,A,6459.53,0.0108,8.44,other,uncertain_discarded,confirm frac too low (0.08),
,A,6493.32,0.0355,7.7,other,uncertain_discarded,confirm frac too low (0.01),
,A,6515.97,0.0604,6.1,other,uncertain_discarded,confirm frac too low (0.00),
,A,6525.16,0.0419,20.0,other,uncertain_discarded,confirm frac too low (0.22),
Hα  6563,A,6560.83,0.2048,11.05,Balmer,confirmed,,"H I 6562.9, H I 6562.7, H I 6562.8"
,A,6612.74,0.0316,5.73,other,no_lines_in_window,,
He I/He II 6678-83,A,6679.82,0.0537,13.08,other,confirmed,,"He I 6678.1, He II 6683.2"
,A,6690.46,0.0187,16.95,other,uncertain_discarded,confirm frac too low (0.00),
