Ca I 4580,B,,,,,,,Ca I/Fe I,4581.5,V I/Ca I,4580,,4581.5502,,,,,,,,
V I/Ca I 4594,C,,,,,,,,,V I/Ca I,4594,PK,4594.77,,,,,,,,
Fe i 4601,B,,,,,,,Fe I,4601,Fe I/Cr I,4600-02,PK,4601.562,,,,,,,,
,,,,,,,,,,,,M,4613.5,,,,,,,,
,,,,,,,,,,,,MWK,4629,,,,,,,,
Cr I 4638,C,,,,,,,Cr I,4637.9,Cr I/V I/Ni I,4638,TP,4639.4839,,,,,,,,
Cr I 4646,C,,,,,,,Cr I/Fe I,4646-47,Cr I/V I/Ni I,4646-49,TP,4646.9927,,,,,,,,
,,,,,,Ti I/Cr I ,4656,Fe I,4655,Ti I,4656,MWK,4655.5,,,,,,,,
Ti I 4668,B,,,,,Ti I/Fe I,4668,Ti I,4667.5,Fe I/Ti I,4668,,4668.5566,,,,,,,,
Ti I 4682,B,,,,,Ti I/Y II,4682,,,Ti I,4682,PK,4682.0005,,,,,,,,
,,,,,,,,,,,,PK,4687.8687,,,,,,,,
Cr I 4699,B,,,,,Ti I/Cr I,4699,Cr I,4699,,,M,4700,,,,,,,,
,,,,,,,,,,,,,4708.4383,,,,,,,,
Ni I/Ti I 4715,B,,,,,Ti I,4715,,,Ni I/Ti I,4715,MK,4715,,,,,,,,
,,,,,,,,,,,,TP,4730.2466,,,,,,,,
,,,,,,,,,,,,TP,4741.4814,,,,,,,,
Mn I 4767,C,,,,,V I/Mn I/Cr I,4767,,,Fe I/Mn I,4767-68,wide,4766.4624,,,,,,,,
MgH 4780,C,,,,,,,,,MgH,4780,wide,4784.5573,,,,,,,,
V I/Ti I 4800,C,,,,,V I/Ti I,4800,,,,,,4799.3298,,,,,,,,
V I/Fe I 4808,C,,,,,V I/Fe I,4808,,,,,,4808.653,,,,,,,,
V I 4827,C,,,,,V I,4827,,,,,KP,4825.6357,,,,,,,,
V I 4832,C,,,,,V I,4832,,,,,KP,4831.4727,,,,,,,,
T I 4841,C,,,,,T I,4841,,,,,,4841.1924,,,,,,,,
H$\beta$,A,Hbeta,4861,,,Hbeta,4861,Hbeta,4861,Hbeta,4861.33,,4861.8954,,,,,,,,
Fe I 4872,C,,,,,Fe I,4872,,,,,M,4872,,,,,,,,
Ti I/Cr I/Fe I 4886,C,,,,,Ti I/Cr I/Fe I,4886,,,,,wide,4886.8295,,,,,,,,
,,,,,,,,,,,,,4902.5005,,,,,,,,
,,,,,,,,,,,,,4910.4815,,,,,,,,
Fe I 4921,A,,,,,Fe I,4920.5,Fe I,4920,Fe I,4920.5,,4920.8556,,,,,,,,
Fe I 4939,C,,,,,Fe I,4939,,,,,,4938.163,,,,,,,,
Fe I 4958,B,,,,,Fe I ,4958,Fe I,4958,,,TP,4958.8438,,,,,,,,
,,,,,,,,,,,,TP,4966.2627,,,,,,,,
Ti I 4982,C,,,,,Ti I,4982,,,,,,4982.7122,,,,,,,,
Fe I/Ti I/Co I 5006-07,C,,,,,Fe I/Ti I/Co I,5006-07,,,,,MWK,5006,,,,,,,,
